,,Proxy depth,Published Proxy,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
Unique ID,Core,(cm),Diatom T.F. (warm season),Diatom T.F. (cold season),(yr BP),Diatom T.F. (mean; deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,
46,TN057-17TC,0.00,7.7600,5.4200,0.00,6.59,0.00,-,,,53,3145,120,400,-,2165,2739,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,1.00,5.7100,3.1900,45.98,4.45,46.40,80.89,,,93,4580,95,400,-,3981,4508,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,2.00,7.0800,4.9100,91.96,6.00,92.70,113.38,,,132,5825,55,400,-,5656,5911,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,3.00,5.6400,3.2600,137.94,4.45,138.99,137.62,,,134,5915,90,400,-,5681,6143,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,4.00,5.6400,2.9600,183.92,4.30,185.25,157.44,,,184,6775,85,400,-,6644,7085,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,5.00,6.5800,4.4000,229.91,5.49,231.51,174.37,,,233,7020,95,400,-,6904,7345,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,6.00,6.3800,4.3900,275.89,5.39,277.77,189.17,,,328,7870,90,400,-,7741,8138,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,7.00,5.6200,3.5500,321.87,4.59,324.01,202.32,,,419,8790,50,400,-,8781,9134,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,8.00,5.7400,3.4300,367.85,4.59,370.26,214.12,,,464,8830,85,400,-,8763,9285,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,9.00,5.0400,2.7000,413.83,3.87,416.50,224.78,,,761,10830,50,400,-,11259,11738,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,10.00,3.3900,1.0000,459.81,2.20,462.74,234.45,,,872,12490,60,400,-,13375,13725,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,11.00,6.5900,4.1000,505.79,5.35,508.97,243.26,,,957,13430,60,400,-,14262,15226,N.pachy left,Calibrated with Calib 6.0,,
,TN057-17TC,12.00,4.8700,2.4800,551.77,3.68,555.20,251.29,,,,,,,,,,,,,
,TN057-17TC,13.00,3.4500,0.8700,597.75,2.16,601.43,258.61,,,,,,,,,,,,,
