,,,Published Proxy,Published age,Published Temperature,Age model error,,,,,,,,,,,,,,,
Unique ID,,,Temperature Anomaly (deg C),(yr BP),(deg C),"(yr, 1¦Ò)",,,,,,,,,,,,,,,
61,,,-0.3137,100.00,-0.3137,2.0,,,,,,,,,,,,,,,
,,,-0.5228,200.00,-0.5228,4.0,,,,,,,,,,,,,,,
,,,-0.5302,300.00,-0.5302,6.0,,,,,,,,,,,,,,,
,,,-0.6801,400.00,-0.6801,8.0,,,,,,,,,,,,,,,
,,,-0.8709,500.00,-0.8709,10.0,,,,,,,,,,,,,,,
,,,-0.3041,600.00,-0.3041,12.0,,,,,,,,,,,,,,,
,,,-1.0021,700.00,-1.0021,14.0,,,,,,,,,,,,,,,
,,,0.1813,800.00,0.1813,16.0,,,,,,,,,,,,,,,
,,,-0.4332,900.00,-0.4332,18.0,,,,,,,,,,,,,,,
,,,-0.2617,1000.00,-0.2617,20.0,,,,,,,,,,,,,,,
,,,-0.2503,1100.00,-0.2503,22.0,,,,,,,,,,,,,,,
,,,0.2022,1200.00,0.2022,24.0,,,,,,,,,,,,,,,
,,,0.0324,1300.00,0.0324,26.0,,,,,,,,,,,,,,,
,,,-0.0206,1400.00,-0.0206,28.0,,,,,,,,,,,,,,,
,,,-0.3326,1500.00,-0.3326,30.0,,,,,,,,,,,,,,,
,,,-0.4355,1600.00,-0.4355,32.0,,,,,,,,,,,,,,,
,,,-0.3515,1700.00,-0.3515,34.0,,,,,,,,,,,,,,,
,,,-0.5379,1800.00,-0.5379,36.0,,,,,,,,,,,,,,,
,,,-0.1296,1900.00,-0.1296,38.0,,,,,,,,,,,,,,,
,,,-0.8843,2000.00,-0.8843,40.0,,,,,,,,,,,,,,,
,,,-0.2719,2100.00,-0.2719,42.0,,,,,,,,,,,,,,,
,,,-0.4375,2200.00,-0.4375,44.0,,,,,,,,,,,,,,,
,,,-1.2219,2300.00,-1.2219,46.0,,,,,,,,,,,,,,,
,,,-1.1967,2400.00,-1.1967,48.0,,,,,,,,,,,,,,,
,,,-0.7062,2500.00,-0.7062,50.0,,,,,,,,,,,,,,,
,,,-0.5790,2600.00,-0.5790,52.0,,,,,,,,,,,,,,,
,,,-0.6618,2700.00,-0.6618,54.0,,,,,,,,,,,,,,,
,,,0.4415,2800.00,0.4415,56.0,,,,,,,,,,,,,,,
,,,-0.1871,2900.00,-0.1871,58.0,,,,,,,,,,,,,,,
,,,-0.4225,3000.00,-0.4225,60.0,,,,,,,,,,,,,,,
