,,Proxy depth,Published Proxy,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
Unique ID,,Adjusted Depths (cm),Foram T.F. (warm season),Foram T.F. (cold season),(yr BP),Foram T.F. (mean; deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,
39,,0.00,28.06,25.92,1553.72,26.99,1635.21,118.68,,,0,2070,100,-,-,1399,1874,-,Calibrated with Calib 6.0,,
,,5.00,26.91,24.93,1865.30,25.92,1902.07,215.85,,,50,4100,120,-,-,3827,4474,-,Calibrated with Calib 6.0,,
,,15.00,28.01,25.73,2467.79,26.87,2413.58,300.67,,,100,6180,170,-,-,6262,7033,-,Calibrated with Calib 6.0,,
,,25.00,28.35,26.39,3043.85,27.37,2919.10,326.58,,,140,7820,250,-,-,7790,8933,-,Calibrated with Calib 6.0,Depths after 115cm had 110cm subtracted to correct for turbidite (115 to 225 cm) in original publication,
,,35.00,27.79,26.65,3594.61,27.22,3420.33,309.17,,,180,8550,80,-,-,8998,9395,-,Calibrated with Calib 6.0,,
,,45.00,28.02,26.45,4120.95,27.24,3915.55,239.19,,,190,8980,90,-,-,9460,9992,-,Calibrated with Calib 6.0,,
,,55.00,27.91,25.91,4623.56,26.91,4417.21,238.13,,,220,9210,100,-,-,9674,10230,-,Calibrated with Calib 6.0,,
,,65.00,27.92,26.79,5103.02,27.36,4925.13,310.43,,,260,9560,110,-,-,10180,10612,-,Calibrated with Calib 6.0,,
,,75.00,28.09,26.51,5559.74,27.30,5427.01,333.13,,,270,9850,190,-,-,10335,11200,-,Calibrated with Calib 6.0,,
,,85.00,28.23,26.49,5994.10,27.36,5924.57,316.87,,,280,9880,130,-,-,10529,11136,-,Calibrated with Calib 6.0,,
,,95.00,28.13,26.58,6406.40,27.36,6416.09,253.83,,,300,10240,170,-,-,10756,11907,-,Calibrated with Calib 6.0,,
,,105.00,28.55,27.53,6796.93,28.04,6879.27,238.05,,,330,10640,230,-,-,11245,12560,-,Calibrated with Calib 6.0,,
,,115.00,28.23,26.68,7165.98,27.46,7315.48,290.55,,,370,10850,150,-,-,11750,12644,-,Calibrated with Calib 6.0,,
,,115.00,27.77,25.20,7165.98,26.49,,,,,380,11440,100,-,-,12669,13127,-,Calibrated with Calib 6.0,,
,,125.00,28.04,26.53,7513.88,27.29,7745,308,,,390,12500,230,-,-,13449,14929,-,Calibrated with Calib 6.0,,
,,135.00,28.27,27.00,7841.02,27.64,8168.42,296.26,,,410,12520,210,-,-,13487,14913,-,Calibrated with Calib 6.0,,
,,145.00,28.49,27.47,8147.84,27.98,8482.53,268.87,,,440,12620,130,-,-,13784,14878,-,Calibrated with Calib 6.0,,
,,155.00,27.47,25.81,8434.89,26.64,8694.10,246.60,,,460,13060,110,-,-,14220,15494,-,Calibrated with Calib 6.0,,
,,165.00,28.13,25.94,8702.83,27.04,8901.16,211.07,,,470,14230,230,-,-,16328,17611,-,Calibrated with Calib 6.0,,
,,175.00,28.13,26.16,8952.43,27.15,9103.71,152.02,,,480,14740,130,-,-,17035,17860,-,Calibrated with Calib 6.0,,
,,185.00,28.27,26.66,9184.59,27.47,9464.46,160.82,,,490,15220,180,-,-,17585,18553,-,Calibrated with Calib 6.0,,
,,195.00,28.58,26.95,9400.36,27.77,9758.14,130.08,,,510,16620,390,-,-,18664,20208,-,Calibrated with Calib 6.0,,
,,205.00,28.01,26.61,9600.93,27.31,9846.48,134.97,,,530,18470,320,-,-,20544,22327,-,Calibrated with Calib 6.0,,
,,215.00,28.59,27.59,9787.66,28.09,9931.00,130.09,,,550,19090,240,-,-,21527,23217,-,Calibrated with Calib 6.0,,
,,225.00,28.01,25.81,9962.04,26.91,10027.68,134.20,,,570,20530,320,-,-,23295,24912,-,Calibrated with Calib 6.0,,
,,235.00,27.54,24.94,10125.73,26.24,10134.39,147.45,,,,,,,,,,,,,
,,245.00,27.89,25.47,10280.55,26.68,10237.65,145.83,,,290,9820,130,-,-,10464,11118,-,Calibrated with Calib 6.0,,
,,255.00,27.57,25.60,10428.45,26.59,10337.47,126.64,,,320,10180,100,-,-,10795,11575,-,Calibrated with Calib 6.0,,
,,265.00,27.82,25.69,10571.53,26.76,10533.35,139.12,,,340,10850,110,-,-,11965,12596,-,Calibrated with Calib 6.0,,
,,275.00,27.81,25.62,10712.02,26.72,10790.39,147.30,,,350,10560,140,-,-,11254,12283,-,Calibrated with Calib 6.0,,
,,285.00,28.15,25.88,10852.30,27.02,11011.36,165.23,,,400,12720,130,-,-,13901,14984,-,Calibrated with Calib 6.0,,
,,295.00,27.80,25.14,10994.82,26.47,11234.92,213.46,,,420,12360,110,-,-,13485,14043,-,Calibrated with Calib 6.0,,
,,305.00,27.76,25.69,11142.14,26.73,11430.22,228.56,,,430,12300,210,-,-,13270,14477,-,Calibrated with Calib 6.0,,
,,315.00,28.81,28.15,11296.91,28.48,11602.30,230.22,,,,,,,,,,,,,
,,325.00,28.42,26.98,11461.82,27.70,11768.89,235.92,,,,,,,,,,,,,
,,335.00,28.43,26.97,11639.61,27.70,11904.10,233.49,,,,,,,,,,,,,
,,345.00,28.38,26.56,11833.00,27.47,12008.91,223.73,,,,,,,,,,,,,
,,355.00,27.32,25.08,12044.74,26.20,12110.00,215.74,,,,,,,,,,,,,
,,365.00,28.35,26.79,12277.50,27.57,12207.36,207.32,,,,,,,,,,,,,
,,375.00,28.27,25.99,12533.89,27.13,12583.23,196.83,,,,,,,,,,,,,
,,385.00,28.18,26.12,12816.41,27.15,13407.90,238.68,,,,,,,,,,,,,
,,395.00,27.58,25.08,13127.41,26.33,13971.80,243.58,,,,,,,,,,,,,
,,405.00,28.60,27.02,13469.06,27.81,14125.36,229.52,,,,,,,,,,,,,
,,415.00,27.95,26.23,13843.34,27.09,14246.01,221.49,,,,,,,,,,,,,
,,425.00,28.43,27.45,14251.91,27.94,14338.03,216.57,,,,,,,,,,,,,
,,435.00,27.71,25.38,14696.17,26.55,14426.15,212.60,,,,,,,,,,,,,
,,445.00,28.46,27.78,15177.16,28.12,14590.26,220.04,,,,,,,,,,,,,
,,455.00,27.21,24.93,15695.49,26.07,14824.96,248.87,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
