,,Proxy depth,Published Proxy,Published age,Published Temperature,Age model error,,,,,,,,,,,,,,,
Unique ID,,(cm),Temperature Anomaly (deg C),(yr BP),(deg C),"(yr, 1¦Ò)",,,,,,,,,,,,,,,
50,,0.00,0.0000,0.0000,0.0000,0.0,,,,,,,,,,,,,,,
,,100.00,0.0000,17.0000,0.0000,0.3,,,,,,,,,,,,,,,
,,200.00,0.0000,35.0000,0.0000,0.7,,,,,,,,,,,,,,,
,,300.00,0.0000,53.0000,0.0000,1.1,,,,,,,,,,,,,,,
,,400.00,0.0000,72.0000,0.0000,1.4,,,,,,,,,,,,,,,
,,500.00,0.0000,91.0000,0.0000,1.8,,,,,,,,,,,,,,,
,,600.00,0.0000,110.0000,0.0000,2.2,,,,,,,,,,,,,,,
,,700.00,0.0000,129.0000,0.0000,2.6,,,,,,,,,,,,,,,
,,800.00,-0.8100,149.0000,-0.8100,3.0,,,,,,,,,,,,,,,
,,900.00,0.0200,170.0000,0.0200,3.4,,,,,,,,,,,,,,,
,,1000.00,0.3600,190.0000,0.3600,3.8,,,,,,,,,,,,,,,
,,1100.00,-0.9500,211.0000,-0.9500,4.2,,,,,,,,,,,,,,,
,,1200.00,-1.8400,234.0000,-1.8400,4.7,,,,,,,,,,,,,,,
,,1300.00,-1.0900,258.0000,-1.0900,5.2,,,,,,,,,,,,,,,
,,1400.00,-0.7500,281.0000,-0.7500,5.6,,,,,,,,,,,,,,,
,,1500.00,-0.2200,304.0000,-0.2200,6.1,,,,,,,,,,,,,,,
,,1600.00,-0.4800,327.0000,-0.4800,6.5,,,,,,,,,,,,,,,
,,1700.00,-0.7500,351.0000,-0.7500,7.0,,,,,,,,,,,,,,,
,,1800.00,0.2300,375.0000,0.2300,7.5,,,,,,,,,,,,,,,
,,1900.00,1.3300,397.0000,1.3300,7.9,,,,,,,,,,,,,,,
,,2000.00,0.3500,420.0000,0.3500,8.4,,,,,,,,,,,,,,,
,,2100.00,0.1800,444.0000,0.1800,8.9,,,,,,,,,,,,,,,
,,2200.00,-0.0800,469.0000,-0.0800,9.4,,,,,,,,,,,,,,,
