Bin center (oC),Standard,Standard5x5Grid,Standard5x5Grid + high frequency,Standard10-lat,Standard30x30Grid,RegEM5x5Grid,0.5NH+0.5SH,Standard30x30Grid no N Atlantic,Jack50,Standard5x5Grid Mg/Ca,Standard5x5Grid Uk'37,Standard5x5Grid Other
-1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E-05,3.70E-05,0.00E+00,0.00E+00,2.20E-03
-1.45,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.80E-06,5.28E-06,0.00E+00,0.00E+00,2.80E-03
-1.4,0.00E+00,0.00E+00,3.53E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E-05,5.28E-06,0.00E+00,0.00E+00,3.32E-03
-1.35,0.00E+00,0.00E+00,1.41E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.94E-05,1.23E-05,0.00E+00,0.00E+00,4.01E-03
-1.3,0.00E+00,0.00E+00,1.15E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.17E-05,1.58E-05,1.76E-06,0.00E+00,4.74E-03
-1.25,0.00E+00,0.00E+00,8.82E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.39E-05,1.94E-05,3.52E-06,0.00E+00,5.60E-03
-1.2,0.00E+00,0.00E+00,1.40E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.94E-04,3.17E-05,1.76E-06,0.00E+00,6.57E-03
-1.15,0.00E+00,0.00E+00,2.75E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.24E-04,3.35E-05,5.28E-06,3.52E-06,8.02E-03
-1.1,0.00E+00,0.00E+00,5.74E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.83E-04,5.99E-05,1.06E-05,1.76E-06,9.15E-03
-1.05,0.00E+00,0.00E+00,1.08E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.07E-04,9.33E-05,1.58E-05,7.04E-06,1.08E-02
-1,0.00E+00,0.00E+00,1.83E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-03,1.55E-04,3.17E-05,1.41E-05,1.28E-02
-0.95,0.00E+00,0.00E+00,3.04E-04,0.00E+00,1.76E-06,0.00E+00,0.00E+00,1.89E-03,2.06E-04,5.46E-05,2.82E-05,1.49E-02
-0.9,0.00E+00,0.00E+00,4.81E-04,0.00E+00,1.76E-06,0.00E+00,0.00E+00,2.59E-03,2.75E-04,1.13E-04,5.46E-05,1.69E-02
-0.85,0.00E+00,0.00E+00,7.82E-04,1.41E-05,1.58E-05,0.00E+00,3.52E-06,3.56E-03,3.54E-04,1.90E-04,7.75E-05,2.04E-02
-0.8,5.28E-06,5.28E-06,1.17E-03,7.04E-06,4.93E-05,0.00E+00,3.35E-05,4.81E-03,5.53E-04,2.85E-04,1.58E-04,2.38E-02
-0.75,1.94E-05,2.64E-05,1.75E-03,2.99E-05,1.23E-04,3.52E-06,6.34E-05,5.97E-03,7.38E-04,5.09E-04,2.61E-04,2.70E-02
-0.7,7.04E-05,7.04E-05,2.54E-03,6.16E-05,1.95E-04,1.06E-05,1.16E-04,7.37E-03,1.10E-03,9.95E-04,4.10E-04,3.11E-02
-0.65,1.53E-04,1.67E-04,3.61E-03,1.25E-04,4.21E-04,6.69E-05,1.95E-04,9.18E-03,1.54E-03,1.72E-03,7.48E-04,3.52E-02
-0.6,3.22E-04,3.42E-04,5.00E-03,3.12E-04,7.94E-04,1.94E-04,2.66E-04,1.13E-02,2.16E-03,2.73E-03,9.96E-04,3.98E-02
-0.55,5.46E-04,6.60E-04,6.89E-03,5.99E-04,1.57E-03,3.24E-04,3.86E-04,1.41E-02,2.77E-03,4.42E-03,1.61E-03,4.25E-02
-0.5,9.93E-04,1.12E-03,9.18E-03,1.08E-03,2.66E-03,9.47E-04,5.79E-04,1.87E-02,3.64E-03,6.80E-03,2.35E-03,4.70E-02
-0.45,1.78E-03,1.98E-03,1.19E-02,1.88E-03,4.57E-03,2.11E-03,1.45E-03,2.50E-02,4.71E-03,1.03E-02,3.25E-03,4.96E-02
-0.4,3.36E-03,3.40E-03,1.50E-02,3.21E-03,7.24E-03,4.25E-03,3.18E-03,3.38E-02,5.99E-03,1.49E-02,4.41E-03,5.18E-02
-0.35,5.82E-03,6.14E-03,1.85E-02,5.11E-03,1.12E-02,7.54E-03,6.14E-03,4.38E-02,7.51E-03,2.06E-02,5.69E-03,5.28E-02
-0.3,9.89E-03,1.07E-02,2.24E-02,7.57E-03,1.69E-02,1.31E-02,1.15E-02,5.61E-02,1.03E-02,2.74E-02,7.30E-03,5.31E-02
-0.25,1.56E-02,1.71E-02,2.65E-02,1.12E-02,2.45E-02,2.03E-02,1.93E-02,6.90E-02,1.33E-02,3.51E-02,9.48E-03,5.33E-02
-0.2,2.42E-02,2.58E-02,3.08E-02,1.65E-02,3.35E-02,3.08E-02,2.99E-02,8.08E-02,2.04E-02,4.29E-02,1.22E-02,5.09E-02
-0.15,3.43E-02,3.63E-02,3.52E-02,2.40E-02,4.31E-02,4.26E-02,4.18E-02,8.84E-02,3.23E-02,5.13E-02,1.59E-02,4.82E-02
-0.1,4.55E-02,4.62E-02,3.95E-02,3.14E-02,5.18E-02,5.39E-02,5.44E-02,9.23E-02,4.83E-02,5.85E-02,1.92E-02,4.51E-02
-0.05,5.52E-02,5.43E-02,4.34E-02,3.68E-02,6.16E-02,5.98E-02,6.41E-02,9.03E-02,6.68E-02,6.41E-02,2.18E-02,4.04E-02
0,5.78E-02,5.71E-02,4.70E-02,4.05E-02,6.88E-02,6.15E-02,6.74E-02,8.44E-02,7.16E-02,6.97E-02,2.41E-02,3.54E-02
0.05,5.79E-02,5.93E-02,4.98E-02,4.21E-02,7.46E-02,6.13E-02,7.09E-02,7.17E-02,6.32E-02,7.19E-02,2.46E-02,3.09E-02
0.1,5.81E-02,6.12E-02,5.22E-02,4.29E-02,7.87E-02,6.35E-02,7.67E-02,5.78E-02,5.89E-02,7.27E-02,2.53E-02,2.61E-02
0.15,6.14E-02,6.45E-02,5.36E-02,4.36E-02,8.06E-02,6.90E-02,8.48E-02,4.36E-02,5.96E-02,7.02E-02,2.57E-02,2.12E-02
0.2,6.81E-02,7.24E-02,5.42E-02,4.65E-02,7.87E-02,7.57E-02,9.30E-02,3.05E-02,6.10E-02,6.59E-02,2.63E-02,1.69E-02
0.25,7.85E-02,7.94E-02,5.40E-02,5.04E-02,7.54E-02,8.16E-02,9.54E-02,2.01E-02,5.91E-02,6.06E-02,2.73E-02,1.31E-02
0.3,8.71E-02,8.35E-02,5.28E-02,5.71E-02,6.74E-02,8.44E-02,8.94E-02,1.29E-02,6.28E-02,5.24E-02,2.96E-02,1.02E-02
0.35,8.93E-02,8.30E-02,5.03E-02,6.55E-02,5.74E-02,7.94E-02,7.29E-02,7.55E-03,5.95E-02,4.53E-02,3.12E-02,7.40E-03
0.4,8.07E-02,7.40E-02,4.72E-02,7.28E-02,4.71E-02,6.76E-02,5.18E-02,4.46E-03,5.62E-02,3.70E-02,3.38E-02,5.21E-03
0.45,6.47E-02,6.01E-02,4.36E-02,7.76E-02,3.73E-02,5.13E-02,3.16E-02,2.34E-03,5.01E-02,2.99E-02,3.76E-02,3.76E-03
0.5,4.52E-02,4.33E-02,3.92E-02,7.70E-02,2.73E-02,3.27E-02,1.60E-02,1.13E-03,4.67E-02,2.31E-02,4.13E-02,2.66E-03
0.55,2.63E-02,2.78E-02,3.45E-02,7.05E-02,1.90E-02,1.93E-02,7.27E-03,5.39E-04,3.70E-02,1.78E-02,4.53E-02,1.86E-03
0.6,1.36E-02,1.56E-02,3.00E-02,5.92E-02,1.19E-02,9.62E-03,3.01E-03,2.41E-04,2.82E-02,1.26E-02,5.06E-02,1.28E-03
0.65,5.77E-03,7.67E-03,2.55E-02,4.42E-02,7.47E-03,4.59E-03,1.19E-03,9.86E-05,2.10E-02,9.27E-03,5.62E-02,9.91E-04
0.7,2.38E-03,3.54E-03,2.14E-02,2.97E-02,4.20E-03,1.78E-03,3.73E-04,5.63E-05,1.49E-02,6.28E-03,6.08E-02,5.93E-04
0.75,8.01E-04,1.64E-03,1.75E-02,1.84E-02,2.25E-03,5.53E-04,1.53E-04,2.11E-05,1.04E-02,4.27E-03,6.11E-02,4.68E-04
0.8,1.85E-04,6.55E-04,1.38E-02,1.00E-02,9.82E-04,1.37E-04,7.04E-05,5.28E-06,6.55E-03,2.72E-03,6.01E-02,2.92E-04
0.85,7.75E-05,2.94E-04,1.08E-02,4.64E-03,3.80E-04,3.87E-05,4.58E-05,1.76E-06,3.86E-03,1.77E-03,5.51E-02,2.13E-04
0.9,2.11E-05,1.48E-04,8.16E-03,2.09E-03,1.78E-04,3.52E-06,4.05E-05,1.76E-06,2.27E-03,1.11E-03,4.78E-02,1.83E-04
0.95,1.58E-05,1.41E-04,5.97E-03,7.61E-04,9.68E-05,0.00E+00,2.11E-05,0.00E+00,1.53E-03,6.30E-04,3.94E-02,1.30E-04
1,7.04E-06,1.06E-04,4.31E-03,3.56E-04,2.99E-05,0.00E+00,1.58E-05,0.00E+00,8.43E-04,4.12E-04,3.05E-02,6.51E-05
1.05,3.52E-06,9.86E-05,3.00E-03,1.20E-04,1.06E-05,0.00E+00,3.52E-06,0.00E+00,2.90E-04,2.46E-04,2.23E-02,7.04E-05
1.1,1.76E-06,6.16E-05,2.05E-03,3.70E-05,0.00E+00,0.00E+00,3.52E-06,0.00E+00,2.10E-04,1.83E-04,1.59E-02,3.35E-05
1.15,0.00E+00,4.23E-05,1.37E-03,1.58E-05,0.00E+00,0.00E+00,1.76E-06,0.00E+00,1.06E-04,1.34E-04,9.87E-03,3.52E-05
1.2,0.00E+00,3.52E-05,8.86E-04,1.41E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.01E-04,1.20E-04,5.85E-03,2.99E-05
1.25,0.00E+00,4.05E-05,5.62E-04,3.52E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E-04,9.33E-05,3.30E-03,1.41E-05
1.3,0.00E+00,2.29E-05,3.59E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.63E-05,8.27E-05,1.63E-03,1.58E-05
1.35,0.00E+00,1.06E-05,2.21E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.80E-06,4.93E-05,8.20E-04,7.04E-06
1.4,0.00E+00,3.52E-06,1.38E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.28E-06,7.57E-05,3.26E-04,7.04E-06
1.45,0.00E+00,8.80E-06,8.36E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.28E-06,7.39E-05,1.76E-04,3.52E-06
1.5,0.00E+00,1.06E-05,1.01E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E-05,5.60E-04,1.99E-04,1.06E-05
