,,Proxy depth,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,,
Unique ID,,(cm),Mg/Ca (mmol/mol),(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,,
,,230.00,4.2360,8720.00,26.80,8761.02,200.99,,,520.09,-,-,-,-,-,-,-,grayscale match in original publication,13007,Not used,
,,235.00,4.1970,8909.00,26.70,9017.35,238.42,,,552.33,-,-,-,-,-,-,-,grayscale match in original publication,13373,Not used,
,,240.00,4.3090,9101.00,27.00,9273.78,249.20,,,556.34,-,-,-,-,-,-,-,grayscale match in original publication,13658,Not used,
,,245.00,4.0290,9294.00,26.20,9530.29,237.18,,,577.39,-,-,-,-,-,-,-,grayscale match in original publication,13970,Not used,
,,256.00,4.4140,9684.00,27.20,10043.75,152.80,,,599.68,-,-,-,-,-,-,-,grayscale match in original publication,14160,Not used,
,,260.00,4.5910,9805.00,27.70,10146.23,179.91,,,627.66,-,-,-,-,-,-,-,grayscale match in original publication,14704,Not used,
,,265.00,4.5790,9956.00,27.70,10274.36,200.66,,,,,,,,,,,,,,
,,270.00,4.2220,10057.00,26.80,10402.52,210.74,,,,,,,,,,,,,,
,,275.00,4.1840,10141.00,26.70,10530.69,211.66,,,,,,,,,,,,,,
,,280.00,4.1110,10226.00,26.50,10658.87,203.49,,,,,,,,,,,,,,
,,285.00,4.2190,10311.00,26.70,10787.07,184.96,,,,,,,,,,,,,,
,,290.00,4.0110,10396.00,26.20,10915.30,152.17,,,,,,,,,,,,,,
,,297.00,4.3630,10537.00,27.10,11114.36,135.11,,,,,,,,,,,,,,
,,300.00,4.1030,10610.00,26.40,11211.70,144.57,,,,,,,,,,,,,,
,,305.00,4.4500,10731.00,27.30,11374.64,127.99,,,,,,,,,,,,,,
,,312.00,4.2010,10897.00,26.70,11478.80,121.00,,,,,,,,,,,,,,
,,316.00,4.3270,10991.00,27.00,11509.84,128.43,,,,,,,,,,,,,,
,,320.00,3.8670,11085.00,25.80,11541.00,134.31,,,,,,,,,,,,,,
,,325.00,3.8770,11202.00,25.80,11580.09,139.91,,,,,,,,,,,,,,
,,330.00,4.4440,11320.00,27.30,11619.36,144.01,,,,,,,,,,,,,,
,,336.00,4.6380,11391.00,27.80,11672.67,150.11,,,,,,,,,,,,,,
,,340.00,3.9030,11424.00,25.90,11726.17,162.16,,,,,,,,,,,,,,
,,345.00,4.0220,11466.00,26.20,11793.05,174.98,,,,,,,,,,,,,,
,,350.00,3.6660,11508.00,25.20,11859.93,184.71,,,,,,,,,,,,,,
,,355.00,3.8750,11550.00,25.80,11926.81,191.57,,,,,,,,,,,,,,
,,360.00,3.3930,11613.00,24.30,11993.70,195.75,,,,,,,,,,,,,,
,,365.00,3.4770,11679.00,24.60,12060.58,197.37,,,,,,,,,,,,,,
,,370.00,3.3050,11745.00,24.00,12127.47,196.46,,,,,,,,,,,,,,
,,375.00,3.6150,11801.00,25.00,12194.35,192.96,,,,,,,,,,,,,,
,,380.00,3.2190,11841.00,23.70,12261.24,186.70,,,,,,,,,,,,,,
,,385.00,3.1810,11881.00,23.60,12328.12,177.38,,,,,,,,,,,,,,
,,390.00,3.4900,11921.00,24.60,12395.01,164.50,,,,,,,,,,,,,,
,,395.00,3.3060,11961.00,24.00,12461.90,147.17,,,,,,,,,,,,,,
,,400.00,3.3760,12001.00,24.30,12528.78,123.79,,,,,,,,,,,,,,
,,406.00,3.6080,12049.00,25.00,12576.41,109.59,,,,,,,,,,,,,,
,,410.00,3.1210,12081.00,23.40,12592.63,109.72,,,,,,,,,,,,,,
,,415.00,3.5370,12121.00,24.80,12612.92,108.92,,,,,,,,,,,,,,
,,420.00,3.3170,12161.00,24.10,12633.21,106.79,,,,,,,,,,,,,,
,,425.00,3.3390,12201.00,24.10,12653.50,103.14,,,,,,,,,,,,,,
,,430.00,3.5020,12241.00,24.70,12673.80,97.77,,,,,,,,,,,,,,
,,435.00,3.4090,12281.00,24.40,12694.11,90.36,,,,,,,,,,,,,,
,,445.00,3.0020,12361.00,23.00,12742.86,87.52,,,,,,,,,,,,,,
,,450.00,3.0020,12401.00,23.00,12779.40,108.60,,,,,,,,,,,,,,
,,455.00,3.1390,12441.00,23.50,12815.95,125.02,,,,,,,,,,,,,,
,,460.00,2.8680,12481.00,22.50,12852.50,138.28,,,,,,,,,,,,,,
,,466.50,3.3270,12533.00,24.10,12900.02,152.07,,,,,,,,,,,,,,
,,470.00,3.2520,12561.00,23.90,12925.60,158.21,,,,,,,,,,,,,,
,,475.00,3.1450,12600.00,23.50,12962.16,165.63,,,,,,,,,,,,,,
,,480.00,2.9610,12640.00,22.80,12998.71,171.65,,,,,,,,,,,,,,
,,485.00,3.0990,12680.00,23.30,13035.26,176.40,,,,,,,,,,,,,,
,,490.00,3.1410,12720.00,23.50,13071.82,179.98,,,,,,,,,,,,,,
,,495.00,3.2660,12760.00,23.90,13108.37,182.45,,,,,,,,,,,,,,
,,500.00,3.3310,12800.00,24.10,13144.93,183.84,,,,,,,,,,,,,,
,,505.00,4.0770,12848.00,26.40,13181.48,184.19,,,,,,,,,,,,,,
,,510.00,3.9500,12900.00,26.00,13218.04,183.48,,,,,,,,,,,,,,
,,515.00,4.4600,12953.00,27.40,13254.60,181.69,,,,,,,,,,,,,,
,,525.00,4.4060,13063.00,27.20,13367.01,191.01,,,,,,,,,,,,,,
,,530.00,3.9350,13120.00,26.00,13482.79,214.01,,,,,,,,,,,,,,
,,535.00,4.8870,13176.00,28.40,13598.72,231.09,,,,,,,,,,,,,,
,,540.00,3.9550,13233.00,26.00,13714.71,243.52,,,,,,,,,,,,,,
,,545.00,4.5720,13290.00,27.60,13830.76,252.03,,,,,,,,,,,,,,
,,550.00,4.3430,13347.00,27.10,13946.85,257.05,,,,,,,,,,,,,,
,,560.00,4.5760,13712.00,27.60,14179.16,257.50,,,,,,,,,,,,,,
,,565.00,4.4700,13786.00,27.40,14295.40,253.11,,,,,,,,,,,,,,
,,570.00,4.4190,13860.00,27.30,14411.74,245.77,,,,,,,,,,,,,,
,,580.00,3.5590,13992.00,24.90,14648.20,247.32,,,,,,,,,,,,,,
,,585.00,4.5280,14035.00,27.50,14767.44,258.67,,,,,,,,,,,,,,
,,590.00,3.9250,14077.00,25.90,14886.65,270.64,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
