1	14.61
3.1	14.17
5.3	12
7.3	12.75
9.1	11.82
10.8	9.8
13.1	9.96
15	8.88
17	9.95
19.3	8.65
20.1	7.63
21.4	8.13
24	7.29
26.8	10.1
27.8	8.13
29.2	9.22
30.5	9.73
32.9	9.18
35.3	9.91
37.6	10.6
39.7	11.59
41.8	10.85
43.9	11.02
46.3	10.68
47.9	11.48
49.9	9.16
51.9	9.04
53.7	10.49
55.4	9.44
57	8.98
58.4	10.8
60.5	11.16
62.3	14.32
63.6	9.63
65.6	7.84
67.5	9.51
70.4	10.41
72.7	8.96
75.4	9.45
78.8	12.39
82.3	13.94
85.6	13.64
86.8	13.51
87.5	14.32
88.5	13.88
89.2	14.08
92	13.69
94	15.16
96	15.8
100	13.04
104.1	14.58
105.9	17.48
112.2	11.78
114.3	13.29
115.9	14.52
118	16.76
119.9	18.18
122	18.23
124.1	17.64
125.9	17.73
128.1	17.19
129.8	14.17
132.1	13.77
134.3	13.85
136	13.25
138	14.59
140	15.49
141.9	14.85
143.6	16.19
152.5	14.71
153.1	15.09
