1767.23	9.765	9765.0	-33.7309
1767.7295	9.769	9769.0	-34.4409
1768.232	9.774	9774.0	-34.2941
1768.731	9.779	9779.0	-34.3576
1769.233	9.783	9783.0	-34.6473
1769.732	9.789	9789.0	-34.274
1770.234	9.793	9793.0	-34.345
1770.7335	9.798	9798.0	-34.439
1771.236	9.803	9803.0	-35.1018
1771.7335	9.808	9808.0	-35.7242
1772.234	9.814	9814.0	-34.8556
1772.733	9.819	9819.0	-34.3462
1773.236	9.823	9823.0	-34.3358
1773.735	9.828	9828.0	-34.3883
1774.237	9.832	9832.0	-34.2886
1774.736	9.837	9837.0	-33.2837
1775.238	9.841	9841.0	-33.7893
1775.7365	9.846	9846.0	-34.3854
1776.239	9.851	9851.0	-33.7553
1776.737	9.855	9855.0	-34.0679
1777.238	9.859	9859.0	-34.4587
1777.7375	9.863	9863.0	-33.711
1778.24	9.867	9867.0	-33.5484
1778.7375	9.872	9872.0	-33.3103
1779.239	9.876	9876.0	-33.8835
1779.738	9.881	9881.0	-34.5186
1780.24	9.886	9886.0	-34.5971
1780.739	9.891	9891.0	-34.637
1781.241	9.895	9895.0	-36.3274
1781.7395	9.901	9901.0	-34.5248
1782.242	9.907	9907.0	-34.9028
1782.74	9.913	9913.0	-35.1554
1783.341	9.919	9919.0	-34.0387
1783.788	9.923	9923.0	-34.7778
1784.238	9.928	9928.0	-33.1722
1784.7365	9.932	9932.0	-33.8684
1785.238	9.937	9937.0	-34.3861
1785.7365	9.942	9942.0	-33.8068
1786.239	9.946	9946.0	-34.433
1786.7375	9.951	9951.0	-33.5957
1787.239	9.956	9956.0	-34.7136
1787.7375	9.962	9962.0	-34.22
1788.239	9.966	9966.0	-34.92
1788.737	9.971	9971.0	-34.5079
1789.238	9.976	9976.0	-34.6931
1789.7375	9.982	9982.0	-34.461
1790.241	9.987	9987.0	-34.0973
1790.7395	9.992	9992.0	-34.3815
1791.242	9.996	9996.0	-33.4951
1791.7405	10.001	10001.0	-33.8515
1792.242	10.006	10006.0	-34.0788
1792.7405	10.01	10010.0	-34.509
1793.242	10.016	10016.0	-34.495
1793.741	10.02	10020.0	-33.7127
1794.244	10.025	10025.0	-33.4479
1794.74	10.029	10029.0	-33.1799
1795.24	10.034	10034.0	-34.605
1795.738	10.038	10038.0	-34.2041
1796.24	10.043	10043.0	-34.6846
1796.739	10.048	10048.0	-34.4154
1797.241	10.053	10053.0	-35.477
1797.74	10.058	10058.0	-34.4158
1798.243	10.063	10063.0	-34.2661
1798.741	10.068	10068.0	-34.9431
1799.243	10.072	10072.0	-33.4933
1799.7415	10.077	10077.0	-34.6553
1800.244	10.083	10083.0	-33.7249
1800.7435	10.087	10087.0	-34.1753
1801.246	10.092	10092.0	-34.4355
1801.745	10.097	10097.0	-34.4258
1802.247	10.102	10102.0	-34.1233
1802.7465	10.107	10107.0	-34.0939
1803.349	10.113	10113.0	-33.8673
1803.797	10.117	10117.0	-34.4096
1804.248	10.122	10122.0	-34.7867
1804.7465	10.127	10127.0	-34.6696
1805.248	10.132	10132.0	-34.024
1805.7465	10.137	10137.0	-33.5587
1806.248	10.141	10141.0	-34.8247
1806.7335	10.146	10146.0	-35.3309
1807.219	10.15	10150.0	-34.799
1807.7345	10.155	10155.0	-34.6562
1808.253	10.161	10161.0	-33.796
1808.752	10.166	10166.0	-33.7788
1809.254	10.171	10171.0	-34.1291
1809.753	10.176	10176.0	-34.7542
1810.256	10.18	10180.0	-34.7126
1810.754	10.186	10186.0	-34.458
1811.255	10.191	10191.0	-33.9278
1811.754	10.195	10195.0	-34.2331
1812.256	10.201	10201.0	-34.1423
1812.7555	10.206	10206.0	-34.6218
1813.258	10.212	10212.0	-36.102
1813.7575	10.217	10217.0	-34.9396
1814.26	10.223	10223.0	-34.3158
1814.7585	10.228	10228.0	-34.0299
1815.261	10.232	10232.0	-33.881
1815.76	10.237	10237.0	-34.8375
1816.262	10.243	10243.0	-34.7356
1816.76	10.247	10247.0	-35.1384
1817.262	10.253	10253.0	-34.4378
1817.761	10.258	10258.0	-33.6498
1818.264	10.263	10263.0	-35.1593
1818.7615	10.267	10267.0	-34.9594
1819.262	10.272	10272.0	-32.7902
1819.7615	10.277	10277.0	-32.8435
1820.264	10.282	10282.0	-33.8627
1820.7625	10.286	10286.0	-34.0241
1821.264	10.291	10291.0	-33.8009
1821.7465	10.296	10296.0	-34.2173
1822.229	10.301	10301.0	-34.6605
1822.747	10.307	10307.0	-35.1484
1823.368	10.313	10313.0	-34.7035
1823.815	10.317	10317.0	-34.2815
1824.266	10.322	10322.0	-34.4146
1824.765	10.327	10327.0	-35.2856
1825.2645	10.332	10332.0	-34.2165
1825.764	10.337	10337.0	-33.9714
1826.269	10.342	10342.0	-34.8493
1826.7675	10.347	10347.0	-34.5656
1827.269	10.353	10353.0	-35.7839
1827.7685	10.358	10358.0	-34.2161
1828.271	10.363	10363.0	-34.5302
1828.77	10.368	10368.0	-34.2736
1829.272	10.373	10373.0	-34.5543
1829.7695	10.378	10378.0	-34.7521
1830.27	10.384	10384.0	-33.4881
1830.7695	10.389	10389.0	-34.2776
1831.272	10.394	10394.0	-35.1351
1831.7705	10.4	10400.0	-35.0696
1832.273	10.406	10406.0	-35.7781
1832.774	10.411	10411.0	-34.0799
1833.278	10.416	10416.0	-35.2425
1833.776	10.421	10421.0	-34.4201
1834.278	10.426	10426.0	-34.1173
1834.777	10.431	10431.0	-34.2856
1835.28	10.436	10436.0	-34.6321
1835.7805	10.442	10442.0	-34.0808
1836.284	10.446	10446.0	-34.2146
1836.7825	10.451	10451.0	-35.0839
1837.285	10.456	10456.0	-34.7908
1837.768	10.461	10461.0	-34.9701
1838.251	10.466	10466.0	-33.7111
1838.768	10.471	10471.0	-33.6892
1839.288	10.477	10477.0	-34.9053
1839.786	10.482	10482.0	-34.6888
1840.288	10.487	10487.0	-35.3852
1840.7865	10.492	10492.0	-35.186
1841.288	10.497	10497.0	-34.1583
1841.787	10.502	10502.0	-33.9758
1842.289	10.507	10507.0	-34.3767
1842.788	10.511	10511.0	-34.7366
1843.39	10.517	10517.0	-34.1487
1843.8375	10.521	10521.0	-34.504
1844.288	10.525	10525.0	-34.4155
1844.787	10.531	10531.0	-34.1449
1845.29	10.535	10535.0	-35.213
1845.7885	10.541	10541.0	-34.2049
1846.29	10.546	10546.0	-34.8065
1846.789	10.551	10551.0	-34.2042
1847.292	10.556	10556.0	-34.2538
1847.792	10.561	10561.0	-35.3717
1848.295	10.567	10567.0	-35.0123
1848.7945	10.572	10572.0	-35.5384
1849.297	10.577	10577.0	-34.2212
1849.7965	10.583	10583.0	-33.9279
1850.299	10.588	10588.0	-34.7694
1850.798	10.593	10593.0	-34.5551
1851.3	10.598	10598.0	-34.2311
1851.8	10.603	10603.0	-35.2006
1852.303	10.607	10607.0	-34.2942
1852.802	10.613	10613.0	-35.1896
1853.304	10.618	10618.0	-33.9514
1853.803	10.623	10623.0	-35.1877
1854.305	10.628	10628.0	-34.8518
1854.8035	10.633	10633.0	-34.0663
1855.305	10.638	10638.0	-34.4096
1855.805	10.644	10644.0	-35.4283
1856.308	10.649	10649.0	-35.0789
1856.829	10.654	10654.0	-34.9217
1857.35	10.659	10659.0	-33.8879
1857.829	10.664	10664.0	-33.6179
1858.357	10.669	10669.0	-34.6715
1858.8555	10.674	10674.0	-34.1297
1859.312	10.678	10678.0	-33.6489
1859.811	10.682	10682.0	-33.9135
1860.314	10.688	10688.0	-34.8746
1860.8135	10.693	10693.0	-35.1161
1861.316	10.698	10698.0	-35.1317
1861.8145	10.703	10703.0	-34.5074
1862.317	10.708	10708.0	-34.1295
1862.8155	10.712	10712.0	-35.1848
1863.417	10.718	10718.0	-35.3121
1863.865	10.723	10723.0	-34.8845
1864.316	10.728	10728.0	-34.1364
1864.8155	10.733	10733.0	-33.8271
1865.318	10.737	10737.0	-35.106
1865.818	10.742	10742.0	-34.752
1866.322	10.747	10747.0	-34.7069
1866.8205	10.752	10752.0	-35.0134
1867.322	10.757	10757.0	-35.245
1867.8215	10.762	10762.0	-33.7671
1868.324	10.767	10767.0	-35.3179
1868.8235	10.773	10773.0	-35.0312
1869.327	10.778	10778.0	-35.5041
1869.8265	10.783	10783.0	-35.7014
1870.329	10.788	10788.0	-34.0396
1870.829	10.793	10793.0	-35.7867
1871.332	10.798	10798.0	-34.0479
1871.831	10.804	10804.0	-34.867
1872.333	10.81	10810.0	-34.6626
1872.832	10.815	10815.0	-34.967
1873.334	10.819	10819.0	-34.8454
1873.834	10.825	10825.0	-35.2339
1874.338	10.83	10830.0	-33.9564
1874.8365	10.835	10835.0	-35.7633
