245	51.2
10	51.47
10	51.79
111	51.9
500	51.96
10	51.97
0.1	52
0.24	52
0.35	52
4.24	52
5.52	52
60	52
81	52
82	52
110	52
149	52
158.1	52.0
173	52
193	52.0
198	52
480	52
510	52
520	52
4	52.04
0.048	52.19
0.048	52.19
4	52.21
0.035	52.23
0.035	52.23
0.048	52.37
10	52.40
54	52.4
4	52.43
245	52.49
0.048	52.60
314	52.6
10	52.68
65.5	52.7
78.9	52.7
4	52.71
10	52.74
10	52.87
96.12	52.9
9.65	53
51.4	53.0
167.4	53.2
559.6	53.2
98	53.6
13.55	53.69
106	53.7
70	53.77
120	54
124.5	54
342	54
69.3	54.1
224	54.3
160	54.44
9.61	54.67
95.6	54.7
850	54.7
10	55.00
111	55.0
160	55.05
6.91	55.23
10	55.38
0.263	55.5
128.4	55.5
245	55.56
32.2	55.7
500	55.76
7.289	55.8
420	55.97
0.24	56
1.25	56
106.3	56.0
3.64	56.01
173	56.1
25	56.25
120	56.46
110	56.58
43	56.6
500	56.61
245	56.69
4.5	56.71
4.5	56.71
4.5	56.74
200	56.8
250	56.8
0.3	57
10.96	57
54	57
80	57
500	57
1.5	57.1
124.1	57.1
42	57.16
4.5	57.22
30	57.38
40	57.38
25	57.6
0.3	57.7
4.5	57.77
4.5	57.77
850	58
4.5	58.09
70	58.1
0.3	58.3
70	58.3
436	58.3
4.5	58.41
4.5	58.5
8.683	58.7
83	58.74
0.3	59
72.8	59.0
1.5	59.2
70	59.2
650	59.2
850	59.2
0.337	59.27
75	59.34
650	59.4
650	59.4
131.3	59.5
650	59.5
4.5	59.59
9.9	59.7
4.5	59.76
0.41	59.78
4.5	59.98
70	60
200	60.1
2.898	60.11
300	60.13
0.385	60.19
44.5	60.2
650	60.2
90	60.21
30	60.25
1.482	60.28
650	60.3
4.5	60.4
638	60.4
650	60.4
850	60.4
55	60.5
409	60.5
650	60.5
4.5	60.61
54	60.7
250	60.7
650	60.7
4.5	60.85
420	60.89
8.202	60.93
1.396	60.94
4.5	60.95
200	61
200	61
420	61.13
133.2	61.2
250	61.2
250	61.35
650	61.4
52	61.5
400	61.5
14	61.6
55	61.6
500	61.65
200	61.8
264	61.8
400	61.8
400	61.8
200	61.9
200	62
200	62
650	62
300	62.07
300	62.08
200	62.1
850	62.1
400	62.15
9.9	62.2
23	62.2
400	62.2
70	62.3
0.3	62.4
30	62.4
200	62.4
1.9	62.5
52	62.5
400	62.5
300	62.51
420	62.52
1.9	62.6
47.5	62.6
47.5	62.6
250	62.6
260	62.6
0.3	62.8
0.3	62.8
2.5	62.8
47.5	62.8
200	62.8
0.3	62.9
47.5	62.9
200	62.9
200	62.9
0.3	63
0.3	63
0.3	63
0.3	63
0.3	63
0.3	63
0.3	63
0.4	63
1.9	63
4	63
30	63
47.5	63
200	63
910	63
1.9	63.1
1.9	63.1
0.3	63.15
0.3	63.2
0.3	63.2
0.3	63.2
0.3	63.2
1.9	63.2
910	63.2
0.3	63.25
1.9	63.3
30	63.3
200	63.3
1.9	63.35
0.1	63.4
0.3	63.4
0.3	63.4
0.3	63.4
0.3	63.4
1.9	63.4
52	63.4
62.9	63.4
200	63.4
200	63.4
200	63.4
1.265	63.43
0.3	63.5
0.3	63.5
0.3	63.5
0.3	63.5
0.3	63.5
200	63.5
200	63.5
200	63.5
200	63.5
200	63.5
0.3	63.6
200	63.6
200	63.6
1.9	63.7
1.9	63.7
2.8	63.7
0.3	63.8
1.2	63.8
1.2	63.8
1.9	63.8
0.1	63.9
14.9	63.9
0.1	64
0.3	64
0.3	64
1.2	64
1.2	64
1.2	64
1.2	64
200	64
200	64
200	64
200	64
200	64
200	64
0.4	64.1
0.1	64.2
0.1	64.2
1.2	64.2
200	64.2
200	64.25
4	64.3
200	64.3
200	64.3
200	64.3
200	64.3
2.27	64.34
1.2	64.35
1.2	64.35
200	64.35
200	64.35
1.2	64.4
200	64.4
0.1	64.5
1.2	64.5
200	64.6
200	64.6
200	64.6
1.2	64.7
1.2	64.7
1.2	64.7
31.6	64.7
70	64.7
500	64.76
12.603	64.78
43	64.79
0.1	64.8
0.1	64.8
0.1	64.8
1.2	64.8
200	64.8
200	64.8
8.706	64.84
0.1	64.9
52	65
200	65
1.035	65.02
200	65.2
1.194	65.31
2.065	65.46
200	65.9
9.9	66
500	66.02
200	66.1
200	66.25
15.2	66.26
70	66.3
400	66.37
11.5	66.5
200	66.5
500	66.52
8.202	66.69
18	66.83
500	67.18
500	67.49
500	67.84
6.2	68
8.971	68.01
18.7	68.3
34.4	68.3
200	69
200	69
10.18	69.13
12	69.9
12.3	69.9
200	70
11.39	70.12
6.9	70.2
5.2	70.4
4.5	70.53
6.4	70.8
100	71.18
16.5	71.2
420	71.3
13.109	71.46
4.5	71.84
4.5	71.9
400	72.3
4.5	72.59
100	72.64
4.5	72.65
4.5	72.67
420	72.68
4.5	73.2
420	73.28
420	73.3
420	73.36
4.5	73.86
4.5	73.99
4.5	74.11
4.5	74.63
4.5	74.67
4.5	74.96
940	76.1

