10	51.47
10	51.79
10	51.97
0.1	52
0.24	52
0.35	52
4.24	52
5.52	52
4	52.04
0.048	52.19
0.048	52.19
4	52.21
0.035	52.23
0.035	52.23
0.048	52.37
10	52.40
4	52.43
0.048	52.60
10	52.68
4	52.71
10	52.74
10	52.87
9.65	53
13.55	53.69
9.61	54.67
10	55.00
6.91	55.23
10	55.38
0.263	55.5
7.289	55.8
0.24	56
1.25	56
3.64	56.01
25	56.25
4.5	56.71
10.96	57
1.5	57.1
30	57.38
25	57.6
8.683	58.7
0.337	59.27
9.9	59.7
0.41	59.78
2.898	60.11
0.385	60.19
30	60.25
1.482	60.28
8.202	60.93
1.396	60.94
14	61.6
9.9	62.2
23	62.2
2.5	62.8
0.3	63
0.4	63
1.9	63
30	63
1.265	63.43
2.8	63.7
14.9	63.9
0.1	64
1.2	64
4	64.3
2.27	64.34
12.603	64.78
8.706	64.84
1.035	65.02
2.065	65.46
9.9	66
15.2	66.26
11.5	66.5
8.202	66.69
18	66.83
6.2	68
8.971	68.01
18.7	68.3
10.18	69.13
12	69.9
12.3	69.9
11.39	70.12
6.9	70.2
5.2	70.4
6.4	70.8
16.5	71.2
13.109	71.46
4.5	72.59
