"","Title","First Author","Year","URL","_gddid"
"12","Geochemical Applications of Noble Gases","Yang, Tsanyao Frank","2009","http://www.sciencedirect.com/science/article/pii/S0009254109003155","54bfeb4ee1382330560e07e3"
"13","Early Cretaceous magmatism and associated polymetallic mineralization in South China: the Tiantang example","Zheng, Wei","2017","https://www.tandfonline.com/doi/full/10.1080/00206814.2017.1326180","5936b5b6cf58f12811b27886"
"14","Geochronology, petrogenesis, and tectonic setting of Mesozoic volcanic rocks, southern Manzhouli area, Inner Mongolia","Gou, Jun","2013","http://www.tandfonline.com/doi/abs/10.1080/00206814.2013.771949","58c8c35fcf58f1996374a0d3"
"15","Eruptive environment of volcanism on Brabant Island: Evidence for thin wet-based ice in northern Antarctic Peninsula during the Late Quaternary","Smellie, J.L.","2006","http://www.sciencedirect.com/science/article/pii/S003101820500492X","54b4324be138239d8684a577"
"16","Late Pleistocene mountain glaciation in Alaska: key chronologies","Thackray, Glenn D.","2008","http://doi.wiley.com/10.1002/jqs.1196","56f8db2dcf58f167a934466c"
"17","The Late Pliocene mafic lavas from the Camusú Aike volcanic field (∼50°S, Argentina): Evidence for geochemical variability in slab window magmatism","D'Orazio, M.","2005","http://www.sciencedirect.com/science/article/pii/S089598110400104X","54efc47be138237cc9152c65"
"18","Practical considerations on current guidelines for the management of non-neutropenic adult patients with candidaemia","Glöckner, A.","2013","http://doi.wiley.com/10.1111/j.1439-0507.2012.02208.x","5b8fa949cf58f1b64d43bdd0"
"19","Relationships between pre-eruptive conditions and eruptive styles of phonolite–trachyte magmas","Andújar, Joan","2012","http://www.sciencedirect.com/science/article/pii/S0024493712001995","54db32a3e138235b0d06b7b4"
"20","Subject index","","1979","","57a0b2a5cf58f18ca6b06092"
"21","The armadillos (Mammalia, Xenarthra, Dasypodidae) of the Santa Cruz Formation (early–middle Miocene): An approach to their paleobiology","Vizcaíno, Sergio F.","2006","http://www.sciencedirect.com/science/article/pii/S0031018205007121","54b4324be138239d8684a5bc"
"22","U-Pb dating of flowstones: challenges, age models and success stories","Pickering, Robyn","2012","http://www.sciencedirect.com/science/article/pii/S1040618212022197","580dd24ecf58f14ea38c0e7f"
"23","Volcaniclastic gravity flow deposits in the Dezadeash Formation (Jura-Cretaceous), Yukon, Canada: Implications regarding the tectonomagmatic evolution of the Chitina arc in the northern Cordillera of North America","Lowey, Grant W.","2011","http://www.sciencedirect.com/science/article/pii/S0024493711000272","54fba425e138239936c6d62c"
"24","High-Si phengite records the time of greenschist facies overprinting: implications for models suggesting mega-detachments in the Aegean Sea","Bröcker, M.","2004","http://doi.wiley.com/10.1111/j.1525-1314.2004.00524.x","56eed158cf58f19cbf691940"
"25","Geodynamic evolution of the Bangweulu Block, northern Zambia","Andersen, L.S.","1984","http://www.sciencedirect.com/science/article/pii/0301926884900329","54b43274e138239d86851958"
"26","Geochemical evolution of Ngorongoro Caldera, Northern Tanzania: Implications for crust–magma interaction","Mollel, Godwin F.","2008","http://www.sciencedirect.com/science/article/pii/S0012821X0800263X","54ccc21fe138236bcc92a159"
"27","Generation of normal and adakite-like calc-alkaline magmas in a non-subductional environment: An Sr–O–H isotopic study of the Apuseni Mountains neogene magmatic province, Romania","Seghedi, Ioan","2007","http://www.sciencedirect.com/science/article/pii/S0009254107003567","54d8570ae138238471e8028b"
"28","Quantitative textural investigation of trachyandesites of Damavand volcano (N Iran): Insights into the magmatic processes","Zadsaleh, Mohsen","2016","http://www.sciencedirect.com/science/article/pii/S1464343X16301583","575f5bc5cf58f17d9b2585a6"
"29","Effect of dietary calcium intake on lead exposure in Inuit children attending childcare centres in Nunavik","Turgeon O’Brien, Huguette","2014","http://www.tandfonline.com/doi/abs/10.1080/09603123.2013.865714","5b24690bcf58f175ca093b88"
"30","Genesis of the Paleozoic Aqishan-Yamansu arc-basin system and Fe (-Cu) mineralization in the Eastern Tianshan, NW China","Chen, Huayong","2019","https://www.sciencedirect.com/science/article/pii/S0169136818307339","5c2fc2a31faed655488b68d4"
"31","In situ trace element and sulfur isotope of pyrite constrain ore genesis in the Shapoling molybdenum deposit, East Qinling Orogen, China","Tang, Li","2019","https://www.sciencedirect.com/science/article/pii/S0169136818301902","5c2fc2a31faed655488b68d5"
"32","Glacial dynamics in southernmost South America during Marine Isotope Stage 5e to the Younger Dryas chron: a brief review with a focus on cosmogenic nuclide measurements","Thackray, Glenn D.","2008","http://doi.wiley.com/10.1002/jqs.1209","56f8d9fdcf58f167449e6c1a"
"33","Extraterrestrial iridium, sediment accumulation and the habitability of the early Earth's surface","Anbar, Ariel D.","2001","http://doi.wiley.com/10.1029/2000JE001272","56bd390fcf58f15c72c8ac88"
"34","30Myr of Cenozoic magmatism along the Tethyan margin during Arabia–Eurasia accretionary orogenesis (Meghri–Ordubad pluton, southernmost Lesser Caucasus)","Rezeau, Hervé","2017","https://www.sciencedirect.com/science/article/pii/S0024493717302463","5a2dd8cbcf58f12fe6f44679"
"35","Fluid–rock interaction at the roots of an Eopaleozoic epithermal system, Sierra Norte de Córdoba, Argentina: Paragenesis, thermometry and fluid sources","Lira, R.","2009","http://www.sciencedirect.com/science/article/pii/S0895981109000698","54c640b3e1382389c54c5008"
"36","Why neoliberal health reforms have failed in Latin America","Homedes, Núria","2005","http://www.sciencedirect.com/science/article/pii/S0168851004001174","5a7c50e7cf58f136e899dd92"
"37","POSTER SESSIONS","","2007","http://doi.wiley.com/10.1111/j.1398-9995.2007.01407.x","5c16b6261faed6554888c364"
"38","Symposium abstract","","1994","http://doi.wiley.com/10.1002/jlcr.2580350108","58796a33cf58f13ba52cdb27"
"39","Understanding the kinematic evolution and genesis of a back-arc continental “sag” basin: The Neogene evolution of the Transylvanian Basin","Tiliţă, Marius","2013","http://www.sciencedirect.com/science/article/pii/S0040195113000115","54eeb14fe138237cc91527e9"
