BP	Vostok_shakun	Vostok_marcott	DomeF_marcott	DomeF_shakun	DomeC_shakun	Antarctica	SO136-GC11_shakun	SO136-GC11_marcott	MD97-2121	MD97-2020	Mount Honey	New Zealand	PC-6	KT92-17 Site 14	Composite MD01-2421; KR02-06 St A GC; KR02-06 St A MC	NW Pacific	GeoB 3313	GeoB 7139-2_marcott	GeoB 7139-2_shakun	ODP 1233_shakun	South America
3500	-0.237874396	-0.245487923	0.273333333	0.273333333	-0.261920173	-0.039723165	15.58859649	15.56859649		10.87732914	8.726	12.69013053	16.18995215	22.85	19.09987355	19.3799419	15.37717941	18.10506173	18.11604938		17.19943017
3600	-0.23201581	-0.238669302	0.32	0.32	-0.292156863	-0.024568395	15.59736842	15.57736842		10.86700669	8.63839861	12.67003553	16.19205742	22.85	19.20409905	19.41538549	15.41674024	18.13530864	18.14691358		17.23298749
3700	-0.309408034	-0.315190275	0.366666667	0.366666667	-0.258605664	-0.029974128	15.6175	15.59691667		10.84841758	8.492396292	12.63880764	16.21339713	22.85	19.29773446	19.45371053	15.42021056	18.16555556	18.17777778		17.25451463
3800	-0.328458498	-0.333418972	0.32	0.32	-0.236383442	-0.051652183	15.6425	15.62108333		10.82982848	8.49020394	12.64590394	16.26647173	22.85344456	19.36265543	19.49419058	15.45633165	18.19580247	18.20864198		17.28692536
3900	-0.2	-0.202727273	0.273333333	0.273333333	-0.245214521	-0.020255026	15.6675	15.64525		10.82166846	8.493909618	12.65708202	16.31978558	22.8588267	19.43325606	19.53728944	15.49544762	18.22412121	18.2369697		17.31884618
4000	-0.065650492	-0.063802456	0.226666667	0.226666667	-0.2571	0.013356077	15.6925	15.66941667		10.80755722	8.412217845	12.64542293	16.39122807	22.86420883	19.41769231	19.55770973	15.51541655	18.24472727	18.25515152		17.33843178
4100	0.064969305	0.067233622	0.18	0.18	-0.302178218	0.038004942	15.70569106	15.68520325		10.77545794	8.360517574	12.63171746	16.45331384	22.86959096	19.41962578	19.58084353	15.50761362	18.26533333	18.27333333		17.34876009
4200	-0.042671614	-0.037745826	0.133333333	0.133333333	-0.376565657	-0.038063286	15.71382114	15.69739837		10.77757922	8.349895713	12.63467361	16.44191033	22.87497309	19.39259659	19.56982667	15.50395744	18.28593939	18.29151515		17.36047066
4300	-0.029235537	-0.025805785	0.133333333	0.133333333	-0.4497	-0.047614931	15.72195122	15.7095935		10.76487756	8.321799923	12.62955555	16.42387914	22.88035522	19.38010274	19.5614457	15.50257532	18.30654545	18.30969697		17.37293925
4400	-0.056055452	-0.055409194	0.133333333	0.133333333	-0.445630798	-0.058085756	15.7300813	15.72178862		10.74833605	8.286071842	12.62156945	16.36095694	22.88573735	19.3915411	19.54607846	15.48427335	18.32715152	18.32787879		17.37976788
4500	-0.06487466	-0.062059801	0.133333333	0.133333333	-0.429591837	-0.057971926	15.73821138	15.73300813		10.7425464	8.347141688	12.6402269	16.31521531	22.89111948	19.36356572	19.52330017	15.45829951	18.35364198	18.35061728		17.38751959
4600	-0.022924901	-0.017509881	0.133333333	0.133333333	-0.455388941	-0.045831411	15.74634146	15.74357724	17.05742411	10.70052286	8.43251812	13.53607676	16.23898635	22.89650161	19.32128342	19.48559046	15.44394538	18.38265432	18.37530864		17.40063611
4700	0.061966605	0.067235622	0.133333333	0.133333333	-0.441705717	-0.009167365	15.75447154	15.75414634	17.16559492	10.68082518	8.544746318	13.57995686	16.24288499	22.89497668	19.27850267	19.47212145	15.45948411	18.41166667	18.4		17.42371693
4800	0.12020202	0.125909091	0.086666667	0.086666667	-0.428772259	-0.001865563	15.76260163	15.76471545	17.24617257	10.67883226	8.619321955	13.61432877	16.22358674	22.88062433	19.30340909	19.46920672	15.51200218	18.44067901	18.42469136		17.45912418
4900	0.027197632	0.031128633	0.04	0.04	-0.458762887	-0.064087324	15.76269841	15.7668254	17.3211494	10.67342859	8.720479308	13.64891622	16.19044834	22.86627198	19.31645455	19.45772496	15.57973397	18.46969136	18.44938272		17.49960268
5000	-0.068154762	-0.067886905	-0.006666667	-0.006666667	-0.513068182	-0.132488636	15.7547619	15.76047619	17.36628082	10.66929084	8.869181669	13.68399828	16.18535885	22.85191963	19.36645455	19.46791101	15.6546293	18.49722222	18.47407407		17.5419752
5100	-0.136231884	-0.135383023	-0.053333333	-0.053333333	-0.518181818	-0.179292678	15.7468254	15.75412698	17.3871479	10.66190912	8.877131167	13.68542811	16.18792398	22.83756728	19.50188636	19.50912587	15.72049198	18.5212963	18.49876543		17.58018457
5200	-0.095440729	-0.091398176	-0.1	-0.1	-0.509372071	-0.179242195	15.73888889	15.74777778	17.37959214	10.64903893	8.894196867	13.68189892	16.20138889	22.82321493	19.60091676	19.54184019	15.73643352	18.54537037	18.52345679		17.60175356
5300	-0.092132505	-0.082173913	-0.113333333	-0.113333333	-0.453787879	-0.170952193	15.73333333	15.74308943	17.33489565	10.62398551	8.97556231	13.68217325	16.23544974	22.80886258	19.67139583	19.57190272	15.77352941	18.56944444	18.54814815		17.630374
5400	-0.039047619	-0.030285714	-0.126666667	-0.126666667	-0.419868791	-0.148507092	15.73333333	15.74227642	17.36478345	10.60667114	9.011755904	13.69176405	16.25333093	22.79451023	19.7064375	19.58475955	15.78764706	18.59351852	18.57283951		17.65133503
5500	0.028571429	0.029130435	-0.14	-0.14	-0.444593301	-0.133378288	15.73333333	15.74146341	17.39346071	10.59990377	9.040218903	13.70167603	16.28042156	22.78015788	19.77602726	19.61220223	15.80289447	18.61759259	18.59753086		17.67267264
5600	0.016252588	0.013229814	-0.153333333	-0.153333333	-0.435037879	-0.142444429	15.73333333	15.74065041	17.44504878	10.60331393	9.077043781	13.71987804	16.33135436	22.76539924	19.80569231	19.63414864	15.81303713	18.64345455	18.62727273		17.69458814
