BP	Vostok_shakun	Vostok_marcott	DomeF_marcott	DomeF_shakun	DomeC_shakun	Antarctica	SO136-GC11_shakun	SO136-GC11_marcott	MD97-2121	MD97-2020	Mount Honey	New Zealand	PC-6	KT92-17 Site 14	Composite MD01-2421; KR02-06 St A GC; KR02-06 St A MC	NW Pacific	GeoB 3313	GeoB 7139-2_marcott	GeoB 7139-2_shakun	ODP 1233_shakun	South America
11900	-2.447660819			-0.646666667	-1.920249221	-1.671525569	16.5575	16.56025	16.16428072			16.42734357	11.52523617	22.37765458		16.95144538		18.47929293	18.47272727	15.00002761	17.31734927
12000	-2.705853175			-0.786666667	-2.190075512	-1.894198451	16.55333333	16.55733333	16.08262009			16.39776225	11.51848853	22.36276596		16.94062724		18.43181818	18.42727273	14.91677019	17.25862037
12100	-2.981814012			-0.926666667	-2.485683761	-2.131388147	16.546	16.55	16.03862469			16.37820823	11.44524291	22.32446809		16.8848555		18.3783871	18.37526882	14.84715719	17.20027103
12200	-3.283975659			-1.066666667	-2.814708995	-2.38845044	16.526	16.525	15.99462928			16.34854309	11.34740216	22.28617021		16.81678619		18.31602151	18.31344086	14.73567447	17.12171228
12300	-3.400189753			-1.286666667	-3.19869281	-2.62851641	16.506	16.5	15.96460109			16.3235337	11.26973684	22.24787234		16.75880459		18.25365591	18.2516129	14.49585921	17.00037601
12400	-3.460077146			-1.506666667	-3.576719577	-2.84782113	16.45	16.44354167	15.94972175			16.28108781	11.24949393	22.20957447		16.7295342		18.19129032	18.18978495	14.29292004	16.89133177
12500	-3.578109932			-1.726666667	-3.831067961	-3.04528152	16.37857143	16.37360119	15.93179538			16.22798933	11.22925101	22.16162047		16.69543574		18.12892473	18.12795699	14.10993112	16.78893761
12600	-3.673202614			-1.946666667	-4.038730159	-3.219533147	16.30714286	16.30366071	15.90244314			16.17108224	11.1945216	22.11044776		16.65248468		18.06655914	18.06612903	13.92238994	16.68502604
12700	-3.750530376			-2.166666667	-4.212729234	-3.376642092	16.21428571	16.20452381	15.8726119			16.09714048	11.15594136	22.05927505		16.60760821		18.00858586	18.00858586	13.71925926	16.57881033
12800	-3.751470588			-2.266666667	-4.357713053	-3.458616769	16.11904762	16.10214286	15.85302326			16.02473791	11.11736111	22.00810235		16.56273173		17.96818182	17.96818182	13.63349057	16.52328473
12900	-3.674705882			-2.366666667	-4.515598291	-3.51899028	16.02688172	16.00387097	15.73333663			15.9213631	11.05346154	21.94408163		16.49877159		17.92777778	17.92777778	13.53773585	16.46443047
13000	-3.707039537			-2.466666667	-4.535132275	-3.569612826	15.96236559	15.94258065	15.72104582			15.87533068	10.96884615	21.69488273		16.33186444		17.88737374	17.88737374	13.50976693	16.42817147
13100	-3.687270974			-2.566666667	-4.543137255	-3.599024965	15.89784946	15.88129032	15.70245406			15.82719795	10.88423077	21.63091684		16.25757381		17.82878788	17.82878788	13.44552966	16.36770181
13200	-3.595098039			-2.666666667	-4.518658281	-3.593474329	15.83333333	15.82	15.70076923			15.78470085	10.80590062	21.56695096		16.18642579		17.76818182	17.76818182	13.33930818	16.2918906
13300	-3.471684945			-2.74	-4.377350427	-3.529678458	15.74731183		15.64623746			15.69677464	10.74223602	21.50298507		16.12261055		17.70757576	17.70757576	13.31492169	16.24335774
13400	-3.352043868			-2.813333333	-4.366666667	-3.510681289	15.66129032		15.59027252			15.62578142	10.67857143	21.43901919		16.05879531		17.68090909	17.68116883	13.31724849	16.22644214
13500	-3.221568627			-2.886666667	-4.366666667	-3.491633987	15.57526882		15.55989805			15.56758343	10.62	21.39002132		16.00501066		17.67686869	17.67756133	13.3105301	16.22165337
13600	-3.094117647			-2.96	-4.316452991	-3.45685688	15.51041667		15.50569244			15.50805455	10.62	21.36443497		15.99221748		17.67282828	17.67395382	13.33403483	16.22693898
13700	-3.010767697			-3.033333333	-4.282539683	-3.442213571	15.44791667		15.46308923			15.45550295	10.63411765	21.33884861		15.98648313			17.66623377	13.31933962	15.49278669
13800	-2.99956427			-2.986666667	-4.154205607	-3.380145515	15.38541667		15.40837542			15.39689604	10.65939785	21.31326226		15.98633005			17.64891775	13.28445323	15.46668549
13900	-3.060213904			-2.94	-4.114046122	-3.371420008	15.31862745		15.37595881			15.34729313	10.5991828	21.28767591		15.94342935			17.63160173	13.26404692	15.44782433
14000	-3.033613445			-2.893333333	-4.035639413	-3.320862064	15.25		15.33512074			15.29256037	10.54495575	21.25914894		15.90205234			17.61428571	13.26600196	15.44014383
14100	-3.061093911			-2.846666667	-3.889308176	-3.265689585	15.18137255		15.28963964			15.23550609	10.49775811	21.2293617		15.86355991			17.55800866	13.28694316	15.42247591
14200	-3.143407708			-2.8	-3.85308642	-3.265498043	15.11818182		15.21563707			15.16690944	10.43688889	21.19957447		15.81823168			17.5017316	13.30960884	15.40567022
14300	-3.322275796			-2.846666667	-3.877777778	-3.348906747	15.06767677		15.16707912			15.11737794	10.32133333	21.16978723		15.74556028			17.44545455	13.26709184	15.35627319
14400	-3.561100569			-2.893333333	-3.914475025	-3.456302976	15.01717172		15.12870333			15.07293752	10.20577778	21.14		15.67288889			17.39220779	13.23487941	15.3135436
14500	-3.736875			-2.94	-3.992592593	-3.556489198	14.96666667		15.08556548			15.02611607	10.12962963	21.07176972		15.60069968			17.34025974	13.21632653	15.27829314
14600	-3.952721774			-2.986666667	-4.053167186	-3.664185209	14.94705882		15.04092262			14.99399072	10.05555556	21.00353945		15.5295475			17.28831169	13.17737327	15.23284248
14700	-4.194858871			-3.033333333	-4.092762487	-3.773651564	14.92745098		14.98353956			14.95549527	9.961538462	20.93530917		15.44842381			17.22758621	13.1578341	15.19271015
14800	-4.360546875			-3.06	-4.170508827	-3.863685234	14.90784314		14.83526786			14.8715555	9.91308615	20.86707889		15.39008252			17.15369458	13.18087558	15.16728508
14900	-4.453173077			-3.086666667	-4.298662551	-3.946167432	14.88857143		14.67450893			14.78154018	9.950769231	20.81339019		15.38207971			17.07980296	13.24396313	15.16188304
15000	-4.65			-3.113333333	-4.494135802	-4.085823045	14.86952381		14.66			14.7647619	10.03868132	20.79206823		15.41537477			16.97881773	13.29589041	15.13735407
15100	-4.801372549			-3.14	-4.759465021	-4.233612523	14.85047619		14.60225722			14.7263667	10.03254579	20.77074627		15.40164603			16.85073892	13.27876712	15.06475302
15200	-4.949154229			-3.166666667	-4.952191641	-4.356004179	14.83238095		14.54104167			14.68671131	10.01033592	20.74942431		15.37988011			16.7226601	13.26164384	14.99215197
15300	-5.086666667			-3.28	-5.046502058	-4.471056241	14.82285714		14.48068241			14.65176978	10.02272727	20.72810235		15.37541481			16.62244898	13.26659259	14.94452079
15400	-5.198181818			-3.393333333	-5.089308176	-4.560274443	14.81333333		14.42770833			14.62052083	10.13636364	20.71208511		15.42422437			16.54081633	13.3125	14.92665816
15500	-5.35178744			-3.506666667	-5.154320988	-4.670925031	14.80380952		14.39645833			14.60013393	10.24110062	20.69931915		15.47020988			16.45918367	13.26352941	14.86135654
15600	-5.449855072			-3.62	-5.267924528	-4.779259867	14.75882353		14.36052083			14.55967218	10.34462405	20.68655319		15.51558862			16.36403941	13.23737605	14.80070773
15700	-5.533043478			-3.733333333	-5.431446541	-4.899274451	14.69019608		14.34015748			14.51517678	10.44814748	20.67378723		15.56096735			16.26551724	13.225	14.74525862
15800	-5.67394958			-3.88	-5.594855967	-5.049601849	14.62156863		14.32421875			14.47289369	10.5516709	20.66102128		15.60634609			16.16699507	13.2073913	14.68719319
15900	-5.837755102			-4.026666667	-5.753459119	-5.205960296	14.56078431		14.29854167			14.42966299	10.65519433	20.60899787		15.6320961			16.09285714	13.13563148	14.61424431
16000	-6.006122449			-4.173333333	-5.915472482	-5.364976088	14.53137255		14.27770833			14.40454044	10.75871776	20.55356077		15.65613927			16.02142857	13.09002558	14.55572707
16100	-6.116197183			-4.32	-6.008641975	-5.481613053	14.50196078		14.25259843			14.3772796	10.86224119	20.49812367		15.68018243			15.95	13.09012963	14.52006481
16200	-6.262720157			-4.466666667	-6.146750524	-5.625379116	14.47254902		14.22916667			14.35085784	10.96576462	20.44268657		15.70422559			15.89396552	13.07415539	14.48406045
16300	-6.46007326			-4.746666667	-6.35046729	-5.852402405	14.45882353		14.20199475			14.33040914	11.06928805	20.38960843		15.72944824			15.83793103	13.06965753	14.45379428
16400	-6.729352227			-5.026666667	-6.507619048	-6.087879314	14.44901961		14.15475066			14.30188513	11.17281148	20.34442771		15.75861959			15.78392857	13.04161736	14.41277296
16500	-6.971862348			-5.306666667	-6.698095238	-6.325541418	14.43921569		14.14828125			14.29374847	11.27633491	20.29924699		15.78779095			15.74821429	13.0488345	14.39852439
16600	-7.181072874			-5.586666667	-6.924074074	-6.563937872	14.44166667		14.14307292			14.29236979	11.37985834	20.25406627		15.8169623			15.7125	12.97062937	14.34156469
16700	-7.318623482			-5.866666667	-7.125681342	-6.77032383	14.4625		14.12062992			14.29156496	11.48338177	20.26827309		15.87582743			15.68103448	12.86794872	14.2744916
16800	-7.409152872			-6.066666667	-7.323260644	-6.933026728	14.48333333		14.07489583			14.27911458	11.58690519	20.28835341		15.9376293			15.65948276	12.80598291	14.23273283
16900	-7.521628959			-6.266666667	-7.465714286	-7.084669971	14.49777778		14.0384375			14.26810764	11.69042862	20.30843373		15.99943118			15.63793103	12.79006571	14.21399837
17000	-7.639194139			-6.466666667	-7.648827727	-7.251562844	14.48666667		14.03193359			14.25930013	11.79395205	20.35644005		16.07519605			15.625	12.73651661	14.1807583
17100	-7.732193732			-6.666666667	-7.809433962	-7.402764787	14.47555556		14.06264764			14.2691016	11.89747548	20.42385255		16.16066402			15.64224138	12.69983358	14.17103748
17200	-7.816153846			-6.866666667	-7.957861635	-7.546894049	14.42283951		14.11994485			14.27139218	12.00099891	20.42857143		16.21478517			15.6637931	12.61993343	14.14186327
17300	-7.877302944			-7.046666667	-8.108930426	-7.677633345	14.2037037		14.18262868			14.19316619	12.10452234	20.42857143		16.26654688			15.68534483	12.43378571	14.05956527
17400	-7.88257646			-7.226666667	-8.27851153	-7.795918219	13.9845679		14.19181985			14.08819388	12.20804577	20.42857143		16.3183086			15.69151786	12.31391813	14.00271799
17500	-7.84315197			-7.406666667	-8.451681957	-7.900500198	13.815		14.20087232			14.00793616	12.3115692	20.42595453		16.36876186			15.69598214	12.20420892	13.95009553
17600	-7.862678063			-7.586666667	-8.588888889	-8.012744539	13.695		14.19686717			13.94593358	12.41509263	20.42166452		16.41837857			15.69827586	12.08121775	13.88974681
17700	-7.91965812			-7.766666667	-8.723148148	-8.136490978	13.575		14.17799342			13.87649671	12.51861606	20.41737452		16.46799529			15.68103448	11.94439567	13.81271508
17800	-7.95631529			-7.886666667	-8.830293501	-8.224425152	13.51060606		14.08519628			13.79790117	12.62213948	20.42874355		16.52544151			15.6637931	11.77593265	13.71986288
17900	-7.966191833			-8.006666667	-9.000311526	-8.324390009	13.44621212		14.00978306			13.72799759	12.72566291	20.48037866		16.60302079			15.64359606	11.6146098	13.62910293
18000	-7.971106942			-8.126666667	-9.102469136	-8.400080915	13.38042328		13.92676911			13.6535962	12.82918634	20.53201377		16.68060006			15.61157635	11.3894636	13.50051998
18100	-8.020633484			-8.246666667	-9.164197531	-8.477165894	13.31428571		13.83863636			13.57646104	12.93270977	20.58364888		16.75817933			15.57955665	11.05521156	13.3173841
18200	-8.09918552			-8.366666667	-9.238461538	-8.568104575	13.17410714		13.816			13.49505357	12.99193548	20.6091222		16.80052884			15.54975369	10.7326572	13.14120545
18300	-8.137093496			-8.493333333	-9.282658359	-8.637695063	12.93777778		13.81484659			13.37631218	12.96889401	20.63350545		16.80119973			15.52512315	10.44695562	12.98603939
18400	-8.17973251			-8.62	-9.307051282	-8.702261264	12.5513369		13.80262475			13.17698083	12.94917051	20.6578887		16.8035296			15.50049261	10.20791075	12.85420168
18500	-8.164285714			-8.746666667	-9.319601677	-8.743518019	12.16650327		13.79130435			12.97890381	12.94456221	20.68908909		16.81682565			15.47959184	9.992788958	12.7361904
18600	-8.151470588			-8.873333333	-9.36984127	-8.798215064	11.98412698		13.74232955			12.86322826	12.93953917	20.72412412		16.83183165			15.46428571	9.879849138	12.67206743
18700	-8.11578712			-9	-9.425925926	-8.847237682	11.79473684		13.729			12.76186842	12.89345622	20.75915916		16.82630769			15.44897959	9.734100877	12.59154023
18800	-8.097389558			-9.053333333	-9.41005291	-8.853591934	11.62105263		13.7581488			12.68960071	12.84737327	20.80169679		16.82453503			15.44285714	9.621169355	12.53201325
18900	-8.073958333			-9.106666667	-9.388888889	-8.85650463	11.46315789		13.7924513			12.6278046	12.83225806	20.86093373		16.8465959			15.44285714	9.453125	12.44799107
19000	-8.043089431			-9.16	-9.395206972	-8.866098801	11.37368421		13.79952978			12.586607	12.82304147	20.92017068		16.87160608			15.44285714	9.305559147	12.37420814
19100	-8.040079365			-9.213333333	-9.42745098	-8.893621226	11.17222222		13.76742424			12.46982323	12.86940092	20.97940763		16.92440428			15.45443122	9.197285068	12.32585814
19200	-8.092122335			-9.266666667	-9.439306931	-8.932698644	10.93194444		13.73130579			12.33162511	12.94313364	20.99222222		16.96767793			15.47096561	9.194278075	12.33262184
19300	-8.068990385			-9.173333333	-9.4406	-8.894307906	10.545		13.70045179			12.1227259	13.01225806	21.0045679		17.00841298			15.4875	9.28880597	12.38815299
19400	-8.080761317			-9.08	-9.4606	-8.873787106	10.17348485		13.6695978			11.92154132	13.07677419	21.01691358		17.04684389			15.43942308	9.427193627	12.43330835
19500	-8.148170732			-8.986666667	-9.4594	-8.864745799	10.16944444		13.6387438			11.90409412	13.1321659	21.02925926		17.08071258			15.39134615	9.553419118	12.47238264
19600	-8.121568627			-8.893333333	-9.471900826	-8.828934262	10.19722222		13.61463904			11.90593063	13.16903226	21.04160494		17.1053186			15.35324074	9.654965539	12.50410314
19700	-8.072227191			-8.8	-9.460853432	-8.777693541	10.22596154		13.59104278			11.90850216	13.2	21.04905771		17.12452886			15.33009259	9.747384085	12.53873834
19800	-8.02960644			-8.753333333	-9.436363636	-8.739767803	10.24285714		13.57941176			11.91113445	13.2	21.04611307		17.12305654			15.30694444	9.839620758	12.5732826
19900	-8.095882353			-8.706666667	-9.464011246	-8.755520089	10.25285714		13.56758021			11.91021868	13.2	21.04316843		17.12158422			15.28055556	9.929441118	12.60499834
20000	-8.107113821			-8.66	-9.534114339	-8.767076053	10.26714286		13.5532754			11.91020913	13.21816514	21.04022379		17.12919447			15.25277778	10.00357143	12.6281746
20100	-8.066563786			-8.613333333	-9.502717901	-8.72753834	10.2847619		13.54458556			11.91467373	13.23651376	21.03727915		17.13689646			15.225	10.05293173	12.63896586
20200	-7.9997151			-8.566666667	-9.46615087	-8.677510879	10.29495798		13.50506313			11.90001056	13.1802765	21.03433451		17.1073055			15.22211538	10.09911647	12.66061593
20300	-7.980074143			-8.44	-9.504407713	-8.641493952	10.2697479		13.50092051			11.88533421	13.10654378	21.02945326		17.06799852			15.20769231	10.14521179	12.67645205
20400	-7.928081557			-8.313333333	-9.488856305	-8.576757065	10.23035714		13.46377518			11.84706616	13.06820276	21.02357437		17.04588857			15.19326923	10.1912523	12.69226077
20500	-7.912820513			-8.186666667	-9.426305609	-8.508597596	10.17678571		13.44771754			11.81225163	13.04976959	21.01769547		17.03373253			15.15972222	10.17157895	12.66565058
20600	-7.935403151			-8.06	-9.401339713	-8.465580955	10.11904762		13.45263158			11.7858396	13.02267281	21.01181658		17.01724469			15.11342593	10.1356044	12.62451516
20700	-7.948378128			-7.933333333	-9.310058027	-8.397256496	10.06666667		13.42594595			11.74630631	12.98580645	21.00593768		16.99587207			15.06712963	10.09164835	12.57938899
20800	-7.981238274			-7.913333333	-9.291489362	-8.395353656	10.06666667		13.36961418			11.71814042	12.9724424	21.00005879		16.98625059			15	10.07555556	12.53777778
20900	-7.992307692			-7.893333333	-9.295204795	-8.393615274	10.02857143		13.30470152			11.66663647	13.01391705	21.04664311		17.03028008			14.93055556	10.13111111	12.53083333
21000	-7.971177016			-7.873333333	-9.243108504	-8.362539618	9.992982456		13.21267787			11.60283016	13.04550691	21.09375736		17.06963214			14.84725275	10.14558187	12.49641731
21100	-7.920879121			-7.853333333	-9.186713287	-8.32030858	9.975438596		13.15447613			11.56495737	13.0109447	21.14087161		17.07590816			14.70851648	10.08701299	12.39776474
21200	-7.893790547			-7.833333333	-9.210948192	-8.312690691	9.945		13.11462121			11.52981061	12.97638249	21.18798587		17.08218418			14.56978022	10.03021978	12.3
21300	-7.916960148			-7.78	-9.182417582	-8.29312591	9.901666667		13.06799007			11.48482837	12.94342105	21.23510012		17.08926059			14.4984127	9.975274725	12.23684371
21400	-7.946153846			-7.726666667	-9.174225774	-8.282348762	9.884761905		13.09294931			11.48885561	12.91052632	21.26666667		17.08859649			14.47195767	9.918580283	12.19526898
21500	-7.959221501			-7.673333333	-9.256969697	-8.296508177	9.894285714		13.06474801			11.47951686	12.87763158	21.26666667		17.07214912			14.44550265	9.86422619	12.15486442
21600	-7.950721154			-7.62	-9.283945841	-8.284888998	9.9		13.04357711			11.47178856	12.91720183	21.26666667		17.09193425			14.48095238	9.916208791	12.19858059
21700	-8.004317269			-7.566666667	-9.265883555	-8.27895583	9.9		13.02848576			11.46424288	12.96307339	21.26666667		17.11487003			14.52328042	9.891568047	12.20742424
21800	-8.094019608			-7.593333333	-9.29030969	-8.325887544	9.910909091		13.00789581			11.45940245	12.96990826	21.26666667		17.11828746			14.56373626	9.825	12.19436813
21900	-8.164215686			-7.62	-9.289130435	-8.35778204	9.947272727		13.00846248			11.4778676	12.96302752	21.26666667		17.11484709			14.5967033	9.690194421	12.14344886
22000	-8.195436508			-7.646666667	-9.269110459	-8.370404545	9.98		13.03913712			11.50956856	12.9959633	21.30942285		17.15269308			14.62967033	9.538038884	12.08385461
22100	-8.323529412			-7.673333333	-9.302075099	-8.432979281	9.98		13.05995055			11.51997527	13.06018349	21.37420495		17.21719422			14.63333333	9.347844463	11.9905889
22200	-8.410330579			-7.7	-9.311895551	-8.474075377	9.98		13.08908863			11.53454431	13.1	21.43898704		17.26949352			14.61746032	9.154506803	11.88598356
22300	-8.44137931			-7.693333333	-9.321566731	-8.485426458	9.987272727		13.09479216			11.54103245	13.1	21.50376914		17.30188457			14.6015873	9.110572562	11.85607993
22400	-8.460570825			-7.686666667	-9.319425837	-8.488887776	9.996363636		13.05494505			11.52565435	13.09633028	21.56855124		17.33244076			14.60405405	9.108154235	11.85610414
22500	-8.440909091			-7.68	-9.286608016	-8.469172369	9.989565217		13.039656			11.51461061	13.07798165	21.63333333		17.35565749			14.60855856	9.057227891	11.83289322
22600	-8.433298097			-7.673333333	-9.268655303	-8.458428911	9.972173913		13.02014808			11.496161	13.05981651	21.6186361		17.33922631			14.61306306	9.042209073	11.82763607
22700	-8.436363636			-7.666666667	-9.316363636	-8.473131313	9.999130435		13.00510397			11.5021172	13.0506422	21.60393886		17.32729053			14.62407407	9.2	11.91203704
22800	-8.445141066			-7.66	-9.316401125	-8.473847397	10.12956522		13.0022977			11.56593146	13.04146789	21.58924162		17.31535476			14.66111111	9.111242604	11.88617686
22900	-8.493506494			-7.653333333	-9.275632615	-8.474157481	10.26		13.02927073			11.64463536	13.0630137	21.57454439		17.31877904			14.69814815	9.133005464	11.91557681
23000	-8.491122995			-7.646666667	-9.268007346	-8.468599003	10.39636364		13.04545455			11.72090909	13.09041096	21.55984715		17.32512905			14.75679012	9.400765027	12.07877758
23100	-8.441219008			-7.64	-9.241836735	-8.441018581	10.53272727		13.03816184			11.78544456	13.06422018	21.55582524		17.31002271			14.83703704	9.494594595	12.16581582
23200	-8.432890705			-7.633333333	-9.23	-8.432074679	10.76869565		13.03358209			11.90113887	13.00917431	21.57347749		17.2913259			14.91728395	9.4	12.15864198
23300	-8.436363636			-7.686666667	-9.215742574	-8.446257626	11.02956522		13.00423197			12.0168986	12.99724771	21.59112974		17.29418873			14.97610063	9.374248927	12.17517478
23400	-8.483471074			-7.74	-9.188910891	-8.470793988	11.2552381		12.97453351			12.1148858	13.03394495	21.60878199		17.32136347			15.02955975	9.348497854	12.1890288
23500	-8.535714286			-7.793333333	-9.117472767	-8.482173462	11.44571429		13.0034632			12.22458874	13.07330275	21.62643425		17.3498685			15.08301887	9.385383244	12.23420106
23600	-8.502298851			-7.846666667	-9.044444444	-8.464469987	11.62181818		13.01423098			12.31802458	13.11917431	21.6440865		17.3816304			15.13647799	9.45311943	12.29479871
23700	-8.412016719			-7.9	-9.01503268	-8.4423498	11.77636364		13.0092559			12.39280977	13.16100917	21.66173875		17.41137396			15.18993711	9.516049383	12.35299324
23800	-8.340599174			-7.986666667	-9.058518519	-8.46192812	11.912		13.03827751			12.47513876	13.17018349	21.679391		17.42478724			15.21975309	9.591827957	12.40579052
23900	-8.380268595			-8.073333333	-9.138835979	-8.530812636	11.972		13.03386728			12.50293364	13.1793578	21.69704325		17.43820052			15.22592593	9.731612903	12.47876941
24000	-8.460147992			-8.16	-9.200419287	-8.60685576	12.022		13.01731749			12.51965874	13.11174312	21.7146955		17.41321931			15.23209877	9.842365591	12.53723218
24100	-8.410588235			-8.246666667	-9.202650357	-8.61996842	12.032		13.00713073			12.51956537	13.03834862	21.73234775		17.38534819			15.28974359	9.949032258	12.61938792
24200	-8.292811839			-8.333333333	-9.194444444	-8.606863206	12.03368421		12.9901528			12.51191851	13.0612844	21.75		17.4056422			15.36025641	10.20479263	12.78252452
24300	-8.144755245			-8.386666667	-9.24362895	-8.59168362	12.00210526		13.0139219			12.50801358	13.11633028	21.68227326		17.39930177			15.4122575	10.45361722	12.93293736
24400				-8.44	-9.288888889	-8.864444444	11.97368421		13.0475382			12.51061121	13.15045872	21.61454653		17.38250262			15.39021164	10.56785714	12.97903439
24500				-8.493333333	-9.309439528	-8.901386431	11.95263158		13.0688			12.51071579	13.16880734	21.54681979		17.35781356			15.36816578		15.36816578
24600				-8.546666667	-9.414141414	-8.98040404	11.90518519		13.07737455			12.49127987	13.17287671	21.47909305		17.32598488			15.35142857		15.35142857
24700				-8.6	-9.464646465	-9.032323232	11.81814815		13.09977599			12.45896207	13.15461187	21.41136631		17.28298909			15.34		15.34
24800				-8.573333333	-9.466666667	-9.02	11.74803922		13.13991935			12.44397929	13.13816514	21.34667842		17.24242178			15.32857143		15.32857143
24900				-8.546666667	-9.45	-8.998333333	11.68921569		13.20252547			12.44587058	13.12899083	21.28788948		17.20844015			15.29010989		15.29010989
25000				-8.52	-9.473802243	-8.996901121	11.65686275		13.28827917			12.47257096	13.1224159	21.22910053		17.17575822			15.25164835		15.25164835
25100				-8.493333333	-9.501501502	-8.997417417	11.63452381		13.37111515			12.50281948	13.24321101	21.17031158		17.2067613			15.20342857		15.20342857
25200				-8.466666667	-9.511111111	-8.988888889	11.64047619		13.40557185			12.52302402	13.36400612	21.11152263		17.23776437			15.14057143		15.14057143
25300				-8.366666667	-9.526984127	-8.946825397	11.56285714		13.4568915			12.50987432	13.48126911	21.05273369		17.2670014			15.07771429		15.07771429
25400				-8.266666667	-9.577777778	-8.922222222	11.43333333		13.51107038			12.47220186	13.59785933	20.99782097		17.29784015			14.984		14.984
25500				-8.166666667	-9.644444444	-8.905555556	11.33809524		13.53042522			12.43426023	13.69417421	20.94481743		17.31949582			14.88685714		14.88685714
25600				-8.066666667	-9.640840841	-8.853753754	11.29387755		13.53363636			12.41375696	13.78004422	20.8918139		17.33592906			14.7978022		14.7978022
25700				-7.966666667	-9.580780781	-8.773723724	11.28239796		13.56926407			12.42583101	13.82547847	20.83881037		17.33214442			14.72087912		14.72087912
25800				-7.953333333	-9.587287287	-8.77031031	11.26581633		13.62677514			12.44629573	13.9	20.78580683		17.34290342			14.64395604		14.64395604
25900				-7.94	-9.605858586	-8.772929293	11.27788462		13.66539857			12.47164159	13.92669173	20.73303939		17.32986556			14.57828571		14.57828571
26000				-7.926666667	-9.536363636	-8.731515152	11.28269231		13.73423062			12.50846146	14.01415205	20.70364491		17.35889848			14.51542857		14.51542857
26100				-7.913333333	-9.506584362	-8.709958848	11.25833333		13.79411526			12.5262243	14.07229102	20.67425044		17.37327073			14.45942857		14.45942857
26200				-7.9	-9.505349794	-8.702674897	11.175		13.85476611			12.51488305	14.30443756	20.64485597		17.47464677			14.41942857		14.41942857
26300				-7.82	-9.47037037	-8.645185185	11.15732323		13.90892857			12.5331259	14.36707946	20.61546149		17.49127048			14.37942857		14.37942857
26400				-7.74	-9.433333333	-8.586666667	11.14388889		13.98198052			12.5629347	14.40216718	20.58606702		17.4941171			14.35771429		14.35771429
26500				-7.66	-9.408358818	-8.534179409	11.217		14.06647727			12.64173864	14.39700722	20.55465253		17.47582988			14.34057143		14.34057143
26600				-7.58	-9.350155763	-8.465077882	11.26909091		14.12508117			12.69708604		20.51931684		20.51931684			14.31868132		14.31868132
26700				-7.5	-9.333333333	-8.416666667	11.32666667		14.16822204			12.74744436		20.48398115		20.48398115			14.28571429		14.28571429
26800				-7.56	-9.327933541	-8.443966771	11.35954545		14.25424107			12.80689326		20.44864547		20.44864547			14.25274725		14.25274725
26900				-7.62	-9.291404612	-8.455702306	11.50210438		14.33386499			12.91798469		20.41330978		20.41330978			14.20285714		14.20285714
27000				-7.68	-9.333333333	-8.506666667	11.83846154		14.36668402			13.10257278		20.37797409		20.37797409			14.14571429		14.14571429
27100				-7.74	-9.343815514	-8.541907757	11.99423077		14.41785714			13.20604396							14.108		14.108
27200				-7.8	-9.344444444	-8.572222222	12.33076923		14.49894806			13.41485865							14.148		14.148
27300				-7.74	-9.344444444	-8.542222222	12.52678571		14.48579882			13.50629227							14.188		14.188
27400				-7.68	-9.208930426	-8.444465213	12.76869748		14.48895097			13.62882422							14.22692308		14.22692308
27500				-7.62	-9.033862434	-8.326931217	12.96111111		14.50850112			13.73480611							14.26538462		14.26538462
27600				-7.56	-8.988888889	-8.274444444	13.10189474		14.54765101			13.82477287							14.30571429		14.30571429
27700				-7.5	-8.996655879	-8.24832794	13.21662338		14.51845638			13.86753988							14.36285714		14.36285714
27800				-7.473333333	-8.977227723	-8.225280528	13.25926957		14.48653199			13.87290078							14.42		14.42
27900				-7.446666667	-8.922222222	-8.184444444	13.19162963		14.45660307			13.82411635							14.46		14.46
28000				-7.42	-8.855145631	-8.137572816	13.04900794		14.42667415			13.73784104							14.48857143		14.48857143
28100				-7.393333333	-8.848712871	-8.121023102	13.06375479		14.41888391			13.74131935							14.51703297		14.51703297
28200				-7.366666667	-8.879578947	-8.123122807	13.14		14.43507723			13.78753861							14.54450549		14.54450549
28300				-7.28	-8.959528302	-8.119764151	13.19756272		14.45127055			13.82441664							14.57197802		14.57197802
28400				-7.193333333	-9.068469388	-8.130901361	13.32666667		14.46746388			13.89706527							14.60190476		14.60190476
28500				-7.106666667	-9.050974026	-8.078820346	13.3		14.48358744			13.89179372							14.63428571		14.63428571
28600				-7.02	-9.006244261	-8.01312213	13.34597701		14.49629297			13.92113499							14.66666667		14.66666667
28700				-6.933333333	-8.944897959	-7.939115646	13.37407407		14.50899851			13.94153629							14.72757475		14.72757475
28800				-6.88	-8.911937557	-7.895968779	13.476		14.52170404			13.99885202							14.78848283		14.78848283
28900				-6.826666667	-8.928293135	-7.877479901	13.70375494		14.53440957			14.11908225							14.84939092		14.84939092
29000				-6.773333333	-8.916401125	-7.844867229	13.94527273		14.55004484			14.24765879							14.910299		14.910299
29100				-6.72	-8.888909091	-7.804454545	14.08957115		14.56798206			14.32877661							14.93374384		14.93374384
29200				-6.666666667	-8.736176195	-7.701421431	13.93703704		14.58591928			14.26147816							14.941133		14.941133
29300				-6.726666667	-8.540909091	-7.633787879	13.85267857		14.6038565			14.22826754							14.94852217		14.94852217
29400				-6.786666667	-8.382745826	-7.584706246	13.68089286		14.62672646			14.15380966							14.97482759		14.97482759
