"Center_win","Average"
800,14.6060576923077
900,14.6916346153846
1000,14.7772115384615
1100,14.8088888888889
1200,14.7866666666667
1300,14.7644444444444
1400,14.8419047619048
1500,14.9442857142857
1600,15.0466666666667
1700,15.0955555555556
1800,15.1444444444444
1900,15.1933333333333
2000,15.1997849462366
2100,15.2062365591398
2200,15.212688172043
2300,15.2358333333333
2400,15.2608333333333
2500,15.2858333333333
2600,15.2926666666667
2700,15.2917142857143
2800,15.2907619047619
2900,15.3038738738739
3000,15.3732432432432
3100,15.4426126126126
3200,15.511981981982
3300,15.5510526315789
3400,15.5598245614035
3500,15.5685964912281
3600,15.5773684210526
3700,15.5969166666667
3800,15.6210833333333
3900,15.64525
4000,15.6694166666667
4100,15.6852032520325
4200,15.6973983739837
4300,15.709593495935
4400,15.7217886178862
4500,15.7330081300813
4600,15.7435772357724
4700,15.7541463414634
4800,15.7647154471545
4900,15.7668253968254
5000,15.7604761904762
5100,15.754126984127
5200,15.7477777777778
5300,15.7430894308943
5400,15.7422764227642
5500,15.7414634146341
5600,15.7406504065041
5700,15.7456910569106
5800,15.7741463414634
5900,15.8026016260163
6000,15.8310569105691
6100,15.8604166666667
6200,15.8979166666667
6300,15.9354166666667
6400,15.9729166666667
6500,16.0100877192982
6600,16.044298245614
6700,16.0785087719298
6800,16.1127192982456
6900,16.1358558558559
7000,16.1331531531532
7100,16.1304504504505
7200,16.1277477477477
7300,16.1089523809524
7400,16.0794285714286
7500,16.0499047619048
7600,16.0236363636364
7700,16.0266666666667
7800,16.029696969697
7900,16.0327272727273
8000,16.0375
8100,16.0427083333333
8200,16.0479166666667
8300,16.0546666666667
8400,16.0624444444444
8500,16.0702222222222
8600,16.0669047619048
8700,16.0561904761905
8800,16.0454761904762
8900,16.0461538461538
9000,16.0496794871795
9100,16.0703
9200,16.1593
9300,16.2483
9400,16.2941739130435
9500,16.3215652173913
9600,16.3507272727273
9700,16.3825454545455
9800,16.4264
9900,16.5184
10000,16.5945263157895
10100,16.6071578947368
10200,16.5916666666667
10300,16.5105555555556
10400,16.4894117647059
10500,16.5282352941176
10600,16.5030588235294
10700,16.4722352941176
10800,16.5345882352941
10900,16.5795294117647
11000,16.5983529411765
11100,16.6290526315789
11200,16.6648421052632
11300,16.64
11400,16.6
11500,16.6422857142857
11600,16.6937142857143
11700,16.6523636363636
11800,16.5878181818182
11900,16.56025
12000,16.5573333333333
12100,16.55
12200,16.525
12300,16.5
12400,16.4435416666667
12500,16.3736011904762
12600,16.3036607142857
12700,16.2045238095238
12800,16.1021428571429
12900,16.0038709677419
13000,15.9425806451613
13100,15.8812903225806
13200,15.82
