"Center_win","Average"
16600,-7.18107287449393
16700,-7.31862348178138
16800,-7.40915287244401
16900,-7.52162895927602
17000,-7.63919413919414
17100,-7.73219373219373
17200,-7.81615384615385
17300,-7.87730294396961
17400,-7.88257645968489
17500,-7.84315196998124
17600,-7.86267806267806
17700,-7.91965811965812
17800,-7.95631528964862
17900,-7.9661918328585
18000,-7.97110694183865
18100,-8.0206334841629
18200,-8.09918552036199
18300,-8.13709349593496
18400,-8.17973251028807
18500,-8.16428571428571
18600,-8.15147058823529
18700,-8.11578711985689
18800,-8.09738955823293
18900,-8.07395833333333
19000,-8.04308943089431
19100,-8.04007936507936
19200,-8.09212233549583
19300,-8.06899038461538
19400,-8.08076131687243
19500,-8.14817073170732
19600,-8.12156862745098
19700,-8.07222719141324
19800,-8.02960644007156
19900,-8.09588235294118
20000,-8.10711382113821
20100,-8.06656378600823
20200,-7.9997150997151
20300,-7.98007414272475
20400,-7.92808155699722
20500,-7.91282051282051
20600,-7.9354031510658
20700,-7.9483781278962
20800,-7.9812382739212
20900,-7.99230769230769
21000,-7.97117701575533
21100,-7.92087912087912
21200,-7.8937905468026
21300,-7.91696014828545
21400,-7.94615384615385
21500,-7.95922150139018
21600,-7.95072115384615
21700,-8.0043172690763
21800,-8.09401960784314
21900,-8.16421568627451
22000,-8.19543650793651
22100,-8.3235294117647
22200,-8.4103305785124
22300,-8.44137931034483
22400,-8.46057082452431
22500,-8.44090909090909
22600,-8.43329809725159
22700,-8.43636363636364
22800,-8.44514106583072
22900,-8.49350649350649
23000,-8.49112299465241
23100,-8.44121900826446
23200,-8.43289070480082
23300,-8.43636363636364
23400,-8.48347107438016
23500,-8.53571428571429
23600,-8.50229885057471
23700,-8.41201671891327
23800,-8.34059917355372
23900,-8.38026859504132
24000,-8.46014799154334
24100,-8.41058823529412
24200,-8.29281183932347
24300,-8.14475524475525
