BP,New Zealand
31600,15.25490909
31700,15.22366197
31800,15.18140845
31900,15.13915493
32000,15.09690141
32100,15.0884507
32200,15.10253521
32300,15.11661972
32400,15.13070423
32500,15.13521127
32600,15.12112676
32700,15.10704225
32800,15.09295775
32900,15.07962441
33000,15.07492958
33100,15.07023474
33200,15.06553991
33300,15.06084507
33400,15.06384977
33500,15.0685446
33600,15.07323944
33700,15.07793427
33800,15.08262911
33900,15.08732394
34000,15.09201878
34100,15.09671362
34200,15.1
34300,15.1
34400,15.1
34500,15.1
34600,15.09928571
34700,15.09571429
34800,15.09214286
34900,15.08857143
35000,15.09142857
35100,15.12
35200,15.14857143
35300,15.17714286
35400,15.21123596
35500,15.26741573
35600,15.32359551
35700,15.36992481
35800,15.40250627
35900,15.41503759
36000,15.42748756
36100,15.42005013
36200,15.4
36300,15.4
36400,15.38501722
36500,15.36050153
36600,15.33249194
36700,15.31638024
36800,15.28706986
36900,15.26232939
37000,15.24413103
37100,15.24285714
37200,15.21272485
37300,15.1266326
37400,15.07509737
37500,15.02941035
37600,14.96812874
37700,14.91283084
37800,14.86162255
37900,14.82134638
38000,14.78639259
38100,14.75744065
38200,14.69758343
38300,14.65208012
38400,14.64437596
38500,14.6366718
38600,14.62896764
38700,14.62126348
38800,14.61472957
38900,14.60862768
39000,14.58546613
39100,14.55719217
39200,14.52266974
39300,14.50810654
39400,14.50158228
39500,14.50685654
39600,14.49745631
39700,14.47658228
39800,14.42302824
39900,14.37779942
40000,14.33885102
40100,14.33361098
40200,14.33894839
40300,14.35842259
40400,14.37388535
40500,14.3714703
40600,14.32278481
40700,14.30431161
40800,14.3
40900,14.3
41000,14.30687898
41100,14.31961783
41200,14.3145429
41300,14.30524593
41400,14.29020701
41500,14.26433092
41600,14.24279581
41700,14.24254025
41800,14.24228469
41900,14.24202913
42000,14.24177358
42100,14.24151802
42200,14.24126246
42300,14.2410069
42400,14.24075134
42500,14.24049578
42600,14.24024022
42700,14.24319328
42800,14.29641457
42900,14.34963585
43000,14.38843537
43100,14.42044818
43200,14.44285714
43300,14.44285714
43400,14.44285714
43500,14.48427371
43600,14.52929172
43700,14.58119748
43800,14.63897059
43900,14.6967437
44000,14.75451681
44100,14.81228992
44200,14.84138655
44300,14.86239496
44400,14.88340336
44500,14.90441176
44600,14.92489496
44700,14.91964286
44800,14.91439076
44900,14.87216387
45000,14.80913866
45100,14.74884454
45200,14.69632353
45300,14.64380252
45400,14.60720121
45500,14.57277077
45600,14.51120448
45700,14.42250233
45800,14.33548086
45900,14.26078431
46000,14.18608777
46100,14.10793651
46200,14.02857143
46300,13.95929038
46400,13.90793651
46500,13.85658263
46600,13.82352941
46700,13.79084967
46800,13.7945845
46900,13.8225957
47000,13.8557423
47100,13.90709617
47200,13.95845005
