BP,South America
32200,15.14465517
32300,15.16362069
32400,15.17663934
32500,15.1807377
32600,15.18483607
32700,15.18893443
32800,15.19303279
32900,15.19713115
33000,15.20122951
33100,15.20532787
33200,15.20942623
33300,15.21352459
33400,15.21762295
33500,15.22172131
33600,15.225
33700,15.225
33800,15.225
33900,15.22448276
34000,15.22275862
34100,15.22103448
34200,15.22
34300,15.22
34400,15.22
34500,15.22245902
34600,15.22737705
34700,15.23229508
34800,15.23721311
34900,15.24213115
35000,15.24704918
35100,15.25967742
35200,15.28387097
35300,15.30806452
35400,15.33225806
35500,15.35645161
35600,15.38064516
35700,15.4
35800,15.4
35900,15.4
36000,15.4
36100,15.4
36200,15.4
36300,15.39781421
36400,15.37595628
36500,15.35409836
36600,15.33224044
36700,15.31038251
36800,15.28852459
36900,15.26666667
37000,15.25591398
37100,15.24516129
37200,15.2344086
37300,15.22365591
37400,15.21290323
37500,15.20215054
37600,15.18251366
37700,15.16065574
37800,15.13879781
37900,15.11693989
38000,15.09508197
38100,15.07322404
38200,15.07431694
38300,15.0852459
38400,15.09617486
38500,15.10710383
38600,15.11803279
38700,15.12896175
38800,15.13333333
38900,15.13333333
39000,15.13333333
39100,15.13333333
39200,15.13333333
39300,15.13333333
39400,15.14644809
39500,15.17923497
39600,15.21202186
39700,15.24480874
39800,15.27759563
39900,15.31038251
